Started,Ended,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
2004,2007,Central African Bush War,Central African Republic\nChad,Rebels:\nUnion of Democratic Forces for Unity\n(UFDR)\nPeople's Army for the Restoration of\nDemocracy (APRD)\nConvention of Patriots for Justice and\nPeace (CPJP)\nMovement of Central African Liberators\nfor Justice (MLCJ)\n...and others\nPatriotic Convention for Saving the\nCountry (CPSK)\nDemocratic Front of the Central\nAfrican People (FDPC)\nFDC\nGALPC\nFPR,,https://en.wikipedia.org/wiki/Central_African_Bush_War,
2004,Ongoing,Sistan and Baluchestan insurgency\n,Iran,Current:\nJaish ul-Adl (2013–present)\nAnsar Al-Furqan (2013–present)\nBLA\nBLF\nFormer:\nJundallah (2004–2011)\nHarakat Ansar (2012–2013),larger Insurgency in\nBalochistan,https://en.wikipedia.org/wiki/Sistan_and_Baluchestan_insurgency,https://en.wikipedia.org/wiki/Insurgency_in_Balochistan
Started,Ended,Name of conflict,Belligerents,nan,,,
,,nan,Victorious party (if applicable),Defeated party (if applicable),,,
2005,2005,2005 Bangladesh India border clash,India,Bangladesh,,https://en.wikipedia.org/wiki/Deaths_along_the_Bangladesh%E2%80%93India_border#Cross_border_firing,
2005,Ongoing,Insurgency in Paraguay,Paraguay\nArmed forces\nPolice\nJoint Task Force (FTC)\nSupported by:\nUnited States\nColombia\nJusticieros de la Frontera,Paraguayan People's Army (EPP)\nArmed Peasant Association (ACA)[f]\nArmy of Marshal López (EML)\n(from 2016)\nSupported by:\nFARC (until 2016)\nManuel Rodríguez Patriotic Front (alleged)\nPrimeiro Comando da Capital\nComando Vermelho,,https://en.wikipedia.org/wiki/Insurgency_in_Paraguay,
2005,2010,Chadian Civil War (2005–2010),Chad\nFrance\nLibya\nNMRD[g]\nJEM[h]\nSupported by:\nUkraine\nIsrael\nRomania,Rebels:\nFUC[i]\nUFDD[j]\nRFD[k]\nCNT[l]\nCDR[m]\nUFDP[n]\nRDL[o]\nUFDD-F[p]\nSCUD[q]\nCNR[r]\nURF[s]\nUFCD[t]\nFSR[u]\nUFR[v]\nUMC[w]\nFPRN[x]\nUDC[y]\nMPRD[z]\nJanjaweed\nAlleged support:\nSudan (until 2010),,https://en.wikipedia.org/wiki/Chadian_Civil_War_(2005%E2%80%932010),
2005,2008,Mount Elgon insurgency,Kenya Defence Forces,Sabaot Land Defence Force,,https://en.wikipedia.org/wiki/Mount_Elgon_insurgency,
Started,Ended,Name of conflict,Belligerents,nan,,,
,,nan,Victorious party (if applicable),Defeated party (if applicable),,,
