Started,Ended,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
,,nan,Victorious party (if\napplicable),Defeated party (if applicable),,,
1944,1963,Polish anti-communist\nresistance insurgency,Polish Committee of\nNational Liberation (until\n1945)\nPolish People's\nRepublic (from 1945)\nMO\nORMO\nZOMO\nSB\nNKVD\nSupported by:\nSoviet Union,"Polish anti-communist\nresistance movements\n(""Unbroken Soldiers"")\nHome Army\nNational Armed Forces\nFreedom and Independence\nAssociation\n...and other various organized and\nun-organized groups",,,
1944,1962,"Romanian anti-communist\nresistance movement\nPart of World War II, the\nCold War and anti-\ncommunist insurgencies in\nCentral and Eastern\nEurope",Kingdom of\nRomania (until 1947)\nRomanian\nPeople's Republic\n(from 1947)\nPCR\nSecuritate\nSupported by:\nSoviet Union,Anti-communist groups\nNationalists\nMonarchists\nNational Peasantists\nIron Guards\nSupported by:\nUnited States\nUnited Kingdom\nCNR,,https://en.wikipedia.org/wiki/Romanian_anti-communist_resistance_movement,https://en.wikipedia.org/wiki/Romanian_anti-communist_resistance_movement
1945,1949,1945 Khuzestan revolt[1],Iran,Khuzestan rebels,,https://en.wikipedia.org/wiki/1945_Khuzestan_revolt?action=edit&redlink=1,
1945,1945,Conquest of al-Ghurfa,British Empire\nAden Protectorate,Al-Ghurfa,,https://en.wikipedia.org/wiki/Al-Ghurfa_(1918%E2%80%931945),
1945,1950,Crusader insurgency,Yugoslavia,Crusaders,,https://en.wikipedia.org/wiki/Crusaders_(guerrilla),
1945,1949,Chinese Civil War\n(second phase)\n,1945–1949\nYan'an Soviet\nPeople's\nRepublic of China\n(1949)\nChinese\nCommunist\nParty\nPeople's\nLiberation Army,1945–1949\nRepublic of China\nKuomintang\nRepublic of China\nArmed Forces,Chinese\nCommunist Revolution\nand the Cold War,https://en.wikipedia.org/wiki/Chinese_Civil_War,https://en.wikipedia.org/wiki/Chinese_Communist_Revolution
1945,1945,August Revolution\n,Việt Minh\nNational Liberation\nCommittee of Vietnam\n(from 16 to 25 August)\nProvisional\nRevolutionary\nGovernment of\nDemocratic Republic of\nVietnam (from 28\nAugust)\nVanguard Youth\n(from 22 August)\nSupported by:\nUnited States –\nBình Xuyên\nHòa Hảo\nCao Đài\nTrotskyist,Empire of Vietnam\nNational Unified Front\nVanguard Youth (until 22\nAugust)\nSupported by:\nJapan,"Civil War in\nVietnam (1945-49),\nFrench Indochina in\nWorld War II, the\nSouth-East Asian\ntheatre of World War\nII, the Pacific Theater\nof World War II, and\nthe Decolonisation of\nAsia",https://en.wikipedia.org/wiki/August_Revolution,https://en.wikipedia.org/wiki/Civil_conflicts_in_Vietnam_(1945%E2%80%931949)
,,,Vietnam Revolutionary\nLeague\nVietnamese\nProvisional National\nGovernment\nViệt Quốc\nĐại Việt\nNationalist,,,,
1945,1949,Indonesian National\nRevolution\n,Indonesia\nPDRI[a]\nTNI\nPOLRI\nJapanese holdouts\nBritish Indian\nvolunteers[b][2],Netherlands[c]\nDutch East Indies\nKNIL\nNICA\nPao An Tui[d]\nUnited Kingdom[e]\nBritish Raj[e]\nJapan[e]\nDI/TII (from 1949)\nFDR\nSmall guerrilla groups,aftermath of\nWorld War II and the\ndecolonisation of Asia,https://en.wikipedia.org/wiki/Indonesian_National_Revolution,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
