Started,Ended,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
,,,United States\nZimbabwe\n1995–2006:\nInterim Government\nTNG\nARPCT\nUSC\nJVA\nRRA\nGalmudug\nJubaland\nPuntland\nUNPOS\n2006–2009:\nInvasion:\nEthiopia\nTFG\nUnited States[21]\nSupported by:\nKenya[22]\nInsurgency:\nEthiopia\nTFG\nPuntland\nGalmudug\nSupported by:\nMalawi[23]\nUnited States\nIGASOM[24]\nDjibouti\nEritrea\nEthiopia\nKenya\nSudan\nUganda\nAMISOM[25]\nBurundi\nDjibouti\nEthiopia\nGhana\nKenya\nNigeria\nSierra Leone\nUganda\nAllied armed groups:\nARPCT\nASWJ\nUNPOS\n2009–present:\nSomalia\nSomali Armed\nForces[25]\nRegional forces\nMa'awisley[26]\nGalmudug\nGalmudug Security\nForce\nAhlu Sunna\nWaljama'a (until\n2018)[27]\nHiman and Heeb\n(until 2015)\nHirshabelle\nKhatumo\nSouthwestern\nSomalia\nUnited\nStates[25][28][29]\nU.S. Army\nU.S. Marine Corps\nU.S. Air Force,,,,
,,,U.S. Navy\nCIA\nAFRICOM\nChina[30][31]\nPeople's Armed\nPolice\nAUSSOM (2025–\npresent)[25]\nBurundi (under\ndiscussion)\nDjibouti\nEgypt (under\ndiscussion)\nEthiopia\nKenya\nUganda\nATMIS (2022–2024)[25]\nBurundi\nDjibouti\nEthiopia\nKenya\nUganda\nAMISOM (2007–\n2022)[25]\nBurundi\nDjibouti\nEthiopia\nGhana\nKenya\nNigeria\nSierra Leone\nUganda\nAllies\nFrance[32]\nItaly[33]\nRussia[34][35]\nTurkey[25][36]\nUnited Arab\nEmirates[37]\nUnited Kingdom[38]\nNon-combat support:\nEuropean Union[39]\nEUTM Somalia\nUNPOS (1995–2013)\nUNSOM (2013–2024)\nBrazil\nFinland\nGermany\nGhana\nIndia\nIndonesia\nNepal\nSierra Leone\nSweden\nThailand\nTurkey\nUganda\nUnited Kingdom\nZimbabwe\nUNTMIS (2025–\npresent)\nUNSOA (2009–2016)\nUNSOS (2016–\npresent)\nIndependent regional\nforces\nPuntland\nPuntland Security Force\nPuntland Dervish Force\nPuntland Maritime\nPolice Force\nJubaland\nJubaland Dervish Force\nRaskamboni,,,,
,,,Movement,,,,
1991,1991,Operation Traíra\n,Brazil\nBrazilian Army\nBrazilian Air Force\nBrazilian Navy\nColombia\nColombian Army,FARC\nComando Simón Bolívar,Colombian\nconflict and war on\ndrugs,https://en.wikipedia.org/wiki/Operation_Traira,https://en.wikipedia.org/wiki/Colombian_conflict
1991,1991,1991 Iraqi uprisings\n,Ba'athist Iraq\nBa'ath Party\nIraqi Army\nRepublican\nGuard\nSpecial Republican\nGuard\nPopular Army\nGeneral Security\nIntelligence Service\nSpecial Security\nSupport:\nMEK,Shia and leftist elements of\nopposition:\nSCIRI/Badr Brigades\nDawa\nCommunist Party\nPro-Syrian Ba'athists\nArmy deserters/defectors\nKurdish rebels:\nPeshmerga:\nKDP\nPUK\nIMK\nCPK\nJash deserters/defectors\nPDKI\nDiplomatic Support:\nUnited States[60]\nMilitary Support Iran[61],aftermath of the\nGulf War,https://en.wikipedia.org/wiki/1991_Iraqi_uprisings,https://en.wikipedia.org/wiki/Aftermath_of_the_Gulf_War
1991,2002,Sierra Leone Civil War\n,"Sierra Leone\nSLA (before and after the\nAFRC)[62]\nCDF (Kamajors,\nTamaboros, Kapras,\netc.)[63]\nForeign mercenaries\nUnited Kingdom\n(2000–2002)\nGuinea\nECOMOG forces (1998–\n2000)\nExecutive Outcomes\n(1995–1996)\nSupported by:\nUnited States\nBelarus[64]\nUNAMSIL\nBangladesh[65]\nIndia\nPakistan (2001–\n2005)[66]\nKenya\nRussia (1999–2005)\nUkraine (1999–2005)\nNigeria\nNorway[67]\nNew Zealand\nGhana\nJordan[68]\nGermany",RUF\nAFRC (1997–2002)\nWest Side Boys (1998–2000)\nLiberia (1997–2002)\nNPFL (1991–2002)\nForeign mercenaries\nSupported by:\nLibya\nBurkina Faso,spillover of the\nFirst and Second Liberian\nCivil Wars,https://en.wikipedia.org/wiki/Sierra_Leone_Civil_War,https://en.wikipedia.org/wiki/First_Liberian_Civil_War
,,nan,nan,nan,,,
1991,1995,Croatian War of\nIndependence Part of\nthe Yugoslav Wars,1991–94:\nCroatia\n1994–95:\nCroatia\nBosnia and\nHerzegovina,"1991–92:\nSFR Yugoslavia\nSAO Krajina\nSAO Eastern Slavonia, Baranja\nand Western Syrmia\nSAO Western Slavonia\n1992–95:\nSerbian Krajina\nRepublika Srpska",,https://en.wikipedia.org/wiki/Croatian_War_of_Independence,https://en.wikipedia.org/wiki/Croatian_War_of_Independence
1991,1991,Ten-Day War\n,Slovenia,Yugoslavia,Yugoslav Wars,https://en.wikipedia.org/wiki/Ten-Day_War,https://en.wikipedia.org/wiki/Yugoslav_Wars
1991,1991,1991 Soviet coup d'état\nattempt\n,Presidency of the\nSoviet Union\nRussian SFSR\nSupreme Soviet\nCongress of\nPeople's Deputies\nCouncil of Ministers\nSupporting\nrepublics:[69]\nArmenia\nEstonia\nGeorgia\nKazakhstan\nKyrgyzstan\nLatvia\nLithuania\nMoldova\nNakhichevan\nUkraine\nRussian\nnationalists\nRussian liberals\nAnti-coup and pro-\nYeltsin demonstrators\nand organizations\n(Democratic Russia)\nArmenian\nRevolutionary\nFederation\nPopular Front of\nAzerbaijan\nBelarusian Popular\nFront\nAll-National\nCongress of the\nChechen People[70]\nPeople's\nMovement of Ukraine\nUNA–UNSO\nSąjūdis\nDiplomatic support:\n[71]\nAustralia\nBulgaria\nCanada\nCzechoslovakia\nDenmark\nEEC\nFrance\nGermany\nHoly See\nHungary,State Committee on the\nState of Emergency\nTaman Guards\nKantemir Division\nCommunist Party\nKGB\nAlpha Group\nVympel Group\nSupporting republics:[69][72]\nAbkhazia\nAzerbaijan\nByelorussia\nChecheno-Ingushetia\nGagauzia\nTajikistan\nTatarstan\nTransnistria\nTurkmenistan\nUzbekistan\nInterfront:\nIntermovement\nIFWP\nYedinstvo\nUnitate-Edinstvo\nInternational Movement of\nDonbass\nCommunist Party of the RSFSR\nCommunist Party of Estonia\n(CPSU)\nCommunist Party of Latvia\nCommunist Party of Lithuania\nLiberal Democratic Party[73]\nPro-coup and anti-Yeltsin\ndemonstrators and organizations\nDiplomatic support:\n[71][74]\nAfghanistan\nChina\nCuba\nIraq\nLaos\nLibya\nNorth Korea\nSudan\nPLO[75]\nVietnam\nYugoslavia\nSerbia\nMontenegro,"Cold War, the\nRevolutions of 1989,\nand the dissolution of the\nSoviet Union",https://en.wikipedia.org/wiki/1991_Soviet_coup_d'%C3%A9tat_attempt,https://en.wikipedia.org/wiki/1991_Soviet_coup_d'%C3%A9tat_attempt
