Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
1509,1509,Battle of Diu\n,Portuguese Empire,Gujarat Sultanate\nMamlûk Sultanate\nKozhikode Zamorin Raja\nOttoman Empire\nRepublic of Venice\nRepublic of Ragusa,"Portuguese battles\nin Indian Ocean, Portuguese–\nMamluk naval war and\nOttoman–Portuguese\nconfrontations",https://en.wikipedia.org/wiki/Battle_of_Diu,https://en.wikipedia.org/wiki/Portuguese%E2%80%93Mamluk_naval_war
1509,1512,Ottoman Civil War,Forces of Selim I\nForces of Bayezid II\nJanissaries,Forces of Ahmed,,https://en.wikipedia.org/wiki/Ottoman_Civil_War_(1509%E2%80%9313),
1510,1510,Prince of Anhua rebellion,Ming dynasty,Prince of Anhua,,https://en.wikipedia.org/wiki/Prince_of_Anhua_rebellion,
1510,1514,Hvar rebellion,Republic of Venice,Hvar rebels,,https://en.wikipedia.org/wiki/Hvar_rebellion,
1510,1510,Portuguese conquest of Goa\nOttoman–Portuguese\nconfrontations,Portugal,Bijapur Sultanate\nOttoman Empire,,https://en.wikipedia.org/wiki/Portuguese_conquest_of_Goa,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Portuguese_confrontations
1511,1511,Friulian revolt of 1511,Friulian nobility,Friulian peasants,,https://en.wikipedia.org/wiki/Friulian_revolt_of_1511,
1511,1511,Şahkulu rebellion,Ottoman Empire,Shia Rebels,,https://en.wikipedia.org/wiki/%C5%9Eahkulu_rebellion,
1511,1529,Spanish–Taíno War of San\nJuan–Borikén,Castile,Taínos,,https://en.wikipedia.org/wiki/Spanish%E2%80%93Ta%C3%ADno_War_of_San_Juan%E2%80%93Borik%C3%A9n,https://en.wikipedia.org/wiki/Spanish%E2%80%93Ta%C3%ADno_War_of_San_Juan%E2%80%93Borik%C3%A9n
1511,1641,Malayan–Portuguese war,Portugal,Malacca Sultanate\nMing dynasty\nDutch East India\nCompany\nJohor Sultanate,,https://en.wikipedia.org/wiki/Malayan%E2%80%93Portuguese_war,
1512,1516,Bengal Sultanate–Kingdom of\nMrauk U War,Bengal Sultanate,Kingdom of Mrauk U,,https://en.wikipedia.org/wiki/Bengal_Sultanate%E2%80%93Kingdom_of_Mrauk_U_War_of_1512%E2%80%931516,https://en.wikipedia.org/wiki/Bengal_Sultanate%E2%80%93Kingdom_of_Mrauk_U_War_of_1512%E2%80%931516
1512,1522,Fourth Muscovite–Lithuanian\nWar\nMuscovite–Lithuanian Wars,Grand Principality of\nMoscow\nLivonian Order,Grand Duchy of\nLithuania\nKingdom of Poland\nCrimean Tatars,,https://en.wikipedia.org/wiki/Fourth_Muscovite%E2%80%93Lithuanian_War,https://en.wikipedia.org/wiki/Fourth_Muscovite%E2%80%93Lithuanian_War
1512,1521,Spanish conquest of Iberian\nNavarre,Crown of Castile\nCrown of Aragon,Kingdom of Navarre,,https://en.wikipedia.org/wiki/Spanish_conquest_of_Iberian_Navarre,https://en.wikipedia.org/wiki/Spanish_conquest_of_Iberian_Navarre
1514,1514,Poor Conrad Rebellion,Duchy of Württemberg,Württemberg peasants,,https://en.wikipedia.org/wiki/Poor_Conrad,
1514,1514,György Dózsa Rebellion,Kingdom of Hungary,Hungarian peasants,,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_D%C3%B3zsa,
1514,1514,Battle of Chaldiran,Ottoman Empire,Safavid Empire,,https://en.wikipedia.org/wiki/Battle_of_Chaldiran,
1515,1515,Slovene Peasant Revolt of\n1515,Holy Roman Empire,Slovene rebels,,https://en.wikipedia.org/wiki/Slovene_Peasant_Revolt_of_1515,https://en.wikipedia.org/wiki/Slovene_Peasant_Revolt_of_1515
1515,1523,Arumer Zwarte Hoop,Habsburg Netherlands,Frisian peasants,,https://en.wikipedia.org/wiki/Arumer_Zwarte_Hoop,
1516,1516,Algiers expedition (1516),Ottoman Empire,Castile,,https://en.wikipedia.org/wiki/Algiers_expedition_(1516),
1516,1517,Ottoman–Mamluk War (1516–\n17)\n,Ottoman Empire,Mamluk Sultanate,Ottoman–Mamluk\nwars,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Mamluk_War_(1516%E2%80%9317),https://en.wikipedia.org/wiki/Ottoman%E2%80%93Mamluk_War_(1516%E2%80%9317)
,,nan,nan,nan,,,
1516,1516,,Tenochtitlan\nPartisans of Cacamatzin,Tlaxcala\nPartisans of Ixtlilxochitl II,,,
1516,1521,Trần Cao rebellion,Lê dynasty,Trần Cao rebels,,https://en.wikipedia.org/wiki/Tr%E1%BA%A7n_Cao_rebellion,
1518,1658,Sinhalese–Portuguese War,Portuguese Empire,Kingdom of Sitawaka\nKingdom of Kandy,,https://en.wikipedia.org/wiki/Sinhalese%E2%80%93Portuguese_War,
1519,1519,Prince of Ning rebellion,Ming dynasty,Prince of Ning,,https://en.wikipedia.org/wiki/Prince_of_Ning_rebellion,
1519,1521,Polish–Teutonic War (1519–\n1521)\nPolish–Teutonic wars,Kingdom of Poland,Teutonic Knights,,https://en.wikipedia.org/wiki/Polish%E2%80%93Teutonic_War_(1519%E2%80%931521),https://en.wikipedia.org/wiki/Polish%E2%80%93Teutonic_War_(1519%E2%80%931521)
1519,1521,Spanish conquest of the Aztec\nEmpire,Spanish Empire\nTlaxcala,Aztec Triple Alliance,,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Aztec_Empire,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Aztec_Empire
1519,1523,Revolt of the Brotherhoods,Royalists of Aragon,Agermanats rebels,,https://en.wikipedia.org/wiki/Revolt_of_the_Brotherhoods,
1519,1523,Hildesheim Diocesan Feud,Bishopric of Hildesheim\nCounty of Schaumburg\nCounty of Diepholz\nCounty of Hoya,Principality of Brunswick-\nWolfenbüttel\nPrincipality of Calenberg,,https://en.wikipedia.org/wiki/Hildesheim_Diocesan_Feud,
1519,1659,Celali rebellions,Ottoman Empire,Alevi peasants,,https://en.wikipedia.org/wiki/Celali_rebellions,
1520,1521,Revolt of the Comuneros,Royalist Castilians,Comuneros rebels,,https://en.wikipedia.org/wiki/Revolt_of_the_Comuneros,
1521,1521,First Battle of Tamão,Ming dynasty,Portuguese Empire,,https://en.wikipedia.org/wiki/First_Battle_of_Tam%C3%A3o,
1521,1523,Swedish War of Liberation\n,Sweden\nFree City of Lübeck\n(from 1522),Denmark\nKalmar Union,Swedish War of\nSecession,https://en.wikipedia.org/wiki/Swedish_War_of_Liberation,https://en.wikipedia.org/wiki/Swedish_War_of_Secession
1521,1526,Italian War of 1521–1526\n,Empire of Charles V:\nSpain\nHoly Roman Empire\nKingdom of\nEngland\nPapal States,France\nRepublic of Venice,Italian Wars,https://en.wikipedia.org/wiki/Italian_War_of_1521%E2%80%931526,https://en.wikipedia.org/wiki/Italian_Wars
1521,1532,Musso War,Three Leagues,Duchy of Milan,,https://en.wikipedia.org/wiki/Musso_War,
1522,1538,First Civil War (Kazakh\nKhanate),Tugim Khan (Until 1538)\nSupported by:\nKhak-Nazar,Buydash Khan,,https://en.wikipedia.org/wiki/First_Civil_War_(Kazakh_Khanate),https://en.wikipedia.org/wiki/First_Civil_War_(Kazakh_Khanate)
1522,1523,Knights' War,Holy Roman Empire,Brotherly Convention’ of\nKnights,,https://en.wikipedia.org/wiki/Knights'_War,
1522,1522,Second Battle of Tamão,Ming dynasty,Portuguese Empire,,https://en.wikipedia.org/wiki/Second_Battle_of_Tam%C3%A3o,
1522,1522,Siege of Rhodes (1522),Ottoman Empire,Knights Hospitaller\nRepublic of Venice,,https://en.wikipedia.org/wiki/Siege_of_Rhodes_(1522),
1523,1523,Franconian War,Swabian League,Robber Barons,,https://en.wikipedia.org/wiki/Franconian_War,
1524,1525,German Peasants' War,Swabian League,German Peasant\nArmy,,https://en.wikipedia.org/wiki/German_Peasants'_War,
1524,1533,Dalecarlian rebellions,Sweden,Dalarna peasants,,https://en.wikipedia.org/wiki/Dalecarlian_rebellions,
,,nan,nan,nan,,,
1524,1528,Arghun–Langah War,Sindh Sultanate,Multan Sultanate,,https://en.wikipedia.org/wiki/Arghun%E2%80%93Langah_War,
1525,1525,Bakhchisarai War (1525),Kabardia,Crimean Khanate,,https://en.wikipedia.org/wiki/Bakhchisarai_War_(1525),
1525,1525,Amicable Grant,Kingdom of England,English Rebels,,https://en.wikipedia.org/wiki/Amicable_Grant,
1526,1530,War of the League of Cognac\n,Empire of Charles V:\nSpain\nHoly Roman Empire\nRepublic of Genoa,France\nPapal States\nRepublic of Venice\nRepublic of Florence\nKingdom of England\nDuchy of Milan,Italian Wars,https://en.wikipedia.org/wiki/War_of_the_League_of_Cognac,https://en.wikipedia.org/wiki/Italian_Wars
1526,1526,Battle of Mohács,Ottoman Empire,Kingdom of Hungary\nKingdom of Bohemia\nHoly Roman Empire\nDuchy of Bavaria\nPapal States\nKingdom of Poland,,https://en.wikipedia.org/wiki/Battle_of_Moh%C3%A1cs,
1527,1697,Spanish conquest of Yucatán,Spanish Empire,Maya,,https://en.wikipedia.org/wiki/Spanish_conquest_of_Yucat%C3%A1n,
1527,1528,Hungarian campaign of 1527–\n1528\n,Archduchy of Austria\nHoly Roman Empire\nSpain\nKingdom of Bohemia\nKingdom of Croatia\nPapal States\nFerdinand's Hungarian\nkingdom\nVoivodian Serbs,Ottoman Empire\nMoldavia\nJohn Szapolyai's\nHungarian kingdom,Ottoman–Habsburg\nwars,https://en.wikipedia.org/wiki/Hungarian_campaign_of_1527%E2%80%931528,https://en.wikipedia.org/wiki/Hungarian_campaign_of_1527%E2%80%931528
1529,1543,Ethiopian–Adal War,Ethiopian Empire\nPortuguese Empire,Adal Sultanate\nOttoman Empire,,https://en.wikipedia.org/wiki/Ethiopian%E2%80%93Adal_War,
1529,1529,Westrogothian rebellion,Sweden,Swedish Catholics,,https://en.wikipedia.org/wiki/Westrogothian_rebellion,
1529,1529,First War of Kappel,Protestants:\nZürich,Catholics:\nUri\nSchwyz\nZug,,https://en.wikipedia.org/wiki/First_War_of_Kappel,
1529,1529,Suleiman I's campaign of\n1529,Ottoman Empire\nMoldavia\nJohn Szapolyai's Hungarian\nkingdom,Archduchy of Austria\nHoly Roman Empire\nSpanish Empire\nKingdom of Bohemia\nPapal States\nKingdom of Croatia\nFerdinand's Hungarian\nkingdom,,https://en.wikipedia.org/wiki/Suleiman_I's_campaign_of_1529,https://en.wikipedia.org/wiki/Suleiman_I's_campaign_of_1529
1529,1529,Siege of Vienna,Holy Roman Empire\nKingdom of Bohemia\nElectorate of the\nPalatinate\nSpain,Ottoman Empire\nMoldavia,,https://en.wikipedia.org/wiki/Siege_of_Vienna_(1529),
1529,1532,Inca Civil War,Inca Empire under\nAtahualpa,Inca Empire under Huáscar\nTumebamba,,https://en.wikipedia.org/wiki/Inca_Civil_War,
1530,1552,Little War in Hungary\n,Archduchy of Austria\nHoly Roman Empire\nSpain,Ottoman Empire\nMoldavia\nJohn Szapolyai's Hungarian,Ottoman–Habsburg\nwars,https://en.wikipedia.org/wiki/Little_War_in_Hungary,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Habsburg_wars
,,,Papal States\nKingdom of Bohemia\nKingdom of Croatia\nFerdinand's Hungarian\nkingdom[2],kingdom\nWallachia\nSerbian Despotate\nFrance[3][4][5],,,
1531,1531,Second War of Kappel,Catholics:\nUri\nSchwyz\nZug,Protestants:\nZürich,,https://en.wikipedia.org/wiki/Second_War_of_Kappel,
1532,1572,Spanish conquest of the Inca\nEmpire,Spanish Empire,Inca Empire\nNeo-Inca State,,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Inca_Empire,https://en.wikipedia.org/wiki/Spanish_conquest_of_the_Inca_Empire
1532,1555,Ottoman–Safavid War (1532–\n1555)\n,Ottoman Empire,Safavid Empire,Ottoman–Persian\nwars,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Safavid_War_(1532%E2%80%931555),https://en.wikipedia.org/wiki/Ottoman%E2%80%93Safavid_War_(1532%E2%80%931555)
1533,1929,Yaqui Wars\n,Crown of Castile (1533–\n1716)\nSpain (1716–1821)\nMexico (1821–\n1929)\nUnited States\n(1896–1918),Yaqui\nAllies\nMayo\nOpata\nPima,Mexican Indian\nWars and the American Indian\nWars,https://en.wikipedia.org/wiki/Yaqui_Wars,https://en.wikipedia.org/wiki/Mexican_Indian_Wars
1533,1677,Lê–Mạc War,Revival Lê dynasty,Mạc dynasty,,https://en.wikipedia.org/wiki/L%C3%AA%E2%80%93M%E1%BA%A1c_War,
1534,1534,Silken Thomas rebellion,Kingdom of England,Irish rebels,,https://en.wikipedia.org/wiki/Silken_Thomas_rebellion,
1534,1535,Münster rebellion,Prince-Bishopric of Münster,Anabaptists,,https://en.wikipedia.org/wiki/M%C3%BCnster_rebellion,
1534,1536,Count's Feud,Christian III\nDuchy of Schleswig\nHolstein\nSweden\nDuchy of Prussia\nJutland,Christian II\nChristopher of Oldenburg\nFree City of Lübeck\nScania\nMalmö\nCopenhagen\nZealand,,https://en.wikipedia.org/wiki/Count's_Feud,
1534,1537,Fifth Muscovite–Lithuanian\nWar\n,Grand Duchy of\nLithuania\nKingdom of Poland\nCrimean Tatars,Grand Principality of\nMoscow,Muscovite–\nLithuanian Wars,https://en.wikipedia.org/wiki/Fifth_Muscovite%E2%80%93Lithuanian_War,https://en.wikipedia.org/wiki/Fifth_Muscovite%E2%80%93Lithuanian_War
1534,1541,Toungoo–Hanthawaddy War,Toungoo dynasty,Hanthawaddy kingdom,,https://en.wikipedia.org/wiki/Toungoo%E2%80%93Hanthawaddy_War,
1534,1536,Iguape War,Captaincies of Brazil,Spanish colonists\nGuaraní,,https://en.wikipedia.org/wiki/Iguape_War,
1536,1537,Pilgrimage of Grace,Kingdom of England,English Roman Catholics,,https://en.wikipedia.org/wiki/Pilgrimage_of_Grace,
1536,1536,Möre uprising,Sweden,Möre Peasantry,,https://en.wikipedia.org/wiki/M%C3%B6re_uprising_(1536),
1536,1538,Italian War of 1536–1538,France\nOttoman Empire,Holy Roman Empire\nSpain,,https://en.wikipedia.org/wiki/Italian_War_of_1536%E2%80%931538,
1537,1537,Bigod's rebellion,Kingdom of England,English Roman Catholics,,https://en.wikipedia.org/wiki/Bigod's_rebellion,
,,nan,nan,nan,,,
1537,1540,Ottoman–Venetian War\n(1537–1540),Ottoman Empire\nFrance (until 1538)\nRegency of Algiers,Holy League:\nRepublic of Venice\nSpanish Empire\nKingdom of Naples\nKingdom of Sicily\nRepublic of Genoa\nPapal States\nKnights of Malta,,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Venetian_War_(1537%E2%80%931540),https://en.wikipedia.org/wiki/Ottoman%E2%80%93Venetian_War_(1537%E2%80%931540)
1537,1548,,Governorate of New\nCastile\nViceroyalty of Peru,Governorate of New\nToledo,,,
1538,1538,Yemeni Expedition of 1538\n,Ottoman Empire,Zaidis,Yemeni–\nOttoman conflicts,https://en.wikipedia.org/wiki/Yemeni_Expedition_of_1538,https://en.wikipedia.org/wiki/Yemeni%E2%80%93Ottoman_conflicts
1538,1545,Toungoo–Ava War,Toungoo dynasty,Ava Kingdom\nConfederation of Shan\nStates\nMrauk-U Kingdom\nProme Kingdom,,https://en.wikipedia.org/wiki/Toungoo%E2%80%93Ava_War,
1538,1560,Ottoman–Portuguese conflicts\n(1538–1559),Portuguese Empire\nEthiopian Empire,Ottoman Empire\nAdal Sultanate\nAjuran Sultanate\nGujarat Sultanate,,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Portuguese_conflicts_(1538%E2%80%931559),https://en.wikipedia.org/wiki/Ottoman%E2%80%93Portuguese_conflicts_(1538%E2%80%931559)
1539,1540,Revolt of Ghent (1539–1540),Holy Roman Empire,Ghent,,https://en.wikipedia.org/wiki/Revolt_of_Ghent_(1539%E2%80%931540),
1540,1540,,Denmark–Norway,Norwegian peasants,,,
1540,1542,Mixtón War,Spanish Empire,Caxcans,,https://en.wikipedia.org/wiki/Mixt%C3%B3n_War,
1540,1567,Jiajing wokou raids,Ming dynasty,Wokou,,https://en.wikipedia.org/wiki/Jiajing_wokou_raids,
1542,1543,Dacke War,Sweden,Småland peasants,,https://en.wikipedia.org/wiki/Dacke_War,
1542,1546,Italian War of 1542–1546\n,France\nOttoman Empire\nJülich-Cleves-Berg,Empire of Charles V:\nSpain\nHoly Roman Empire\nKingdom of\nEngland\nSaxony\nBrandenburg,Italian Wars,https://en.wikipedia.org/wiki/Italian_War_of_1542%E2%80%931546,https://en.wikipedia.org/wiki/Italian_Wars
1542,1551,Rough Wooing\n,Kingdom of Scotland\nKingdom of France,Kingdom of England,Anglo-Scottish\nWars,https://en.wikipedia.org/wiki/Rough_Wooing,https://en.wikipedia.org/wiki/Anglo-Scottish_Wars
1543,1568,Koch–Ahom conflicts,Kamata Kingdom,Ahom kingdom,,https://en.wikipedia.org/wiki/Koch%E2%80%93Ahom_conflicts,
1545,1547,Toungoo–Mrauk-U War,Kingdom of Mrauk U,Toungoo dynasty,,https://en.wikipedia.org/wiki/Toungoo%E2%80%93Mrauk-U_War,
1546,1547,Schmalkaldic War,Empire of Charles V:\nSpain\nHoly Roman Empire,Schmalkaldic League:,,https://en.wikipedia.org/wiki/Schmalkaldic_War,
,,,Duchy of Saxony\nKingdom of Hungary\nKingdom of Bohemia\nand other Lands of the\nBohemian Crown,Electorate of\nSaxony\nHesse\nElectorate of the\nPalatinate\nBremen\nFree City of Lübeck\nBrunswick-Lüneburg\nOther German\nterritories,,,
1547,1549,Burmese–Siamese War\n(1547–1549),Ayutthaya Kingdom,Toungoo dynasty,,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1547%E2%80%931549),https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1547%E2%80%931549)
1548,1549,Revolt of the Pitauds,France,Tax Resisters,,https://en.wikipedia.org/wiki/Revolt_of_the_Pitauds,
1549,1549,Prayer Book Rebellion,Kingdom of England,Catholic rebels,,https://en.wikipedia.org/wiki/Prayer_Book_Rebellion,
1549,1549,Buckinghamshire and\nOxfordshire rising of 1549,Kingdom of England,English rebels,,https://en.wikipedia.org/wiki/Buckinghamshire_and_Oxfordshire_rising_of_1549,https://en.wikipedia.org/wiki/Buckinghamshire_and_Oxfordshire_rising_of_1549
1549,1549,Kett's Rebellion,Kingdom of England,English peasants,,https://en.wikipedia.org/wiki/Kett's_Rebellion,
1550,1590,Chichimeca War,Chichimeca,Spanish Empire,,https://en.wikipedia.org/wiki/Chichimeca_War,
1551,1556,Temryuk War,Kabardia\nBzhedug\nPrincipality of Hatuqay,Crimean Khanate,,https://en.wikipedia.org/wiki/Temryuk_War,
1551,1553,Lappvesi Peasant Revolt\n(1551–1553),Sweden,Finnish Peasants\nKarelians,,https://en.wikipedia.org/wiki/Lappvesi_Peasant_Revolt_(1551%E2%80%931553),https://en.wikipedia.org/wiki/Lappvesi_Peasant_Revolt_(1551%E2%80%931553)
1551,1559,Italian War of 1551–1559,Spanish Empire\nHoly Roman Empire\nKingdom of England\nRepublic of Florence\nDuchy of Savoy,Kingdom of France\nRepublic of Siena\nOttoman Empire,,https://en.wikipedia.org/wiki/Italian_War_of_1551%E2%80%931559,
1552,1555,Second Margrave War,Margravate of Brandenburg-\nKulmbach,Imperial City of Nuremberg\nPrince-Bishopric of Bamberg\nImperial City Schweinfurt\nBishopric of Würzburg\nArchbishopric of Mainz\nArchbishopric of Trier\nBishopric of Speyer\nElectorate of Saxony\nDuchy of Brunswick-\nLüneburg\nKingdom of Bohemia\nMargravate of Meissen,,https://en.wikipedia.org/wiki/Second_Margrave_War,
1552,1552,Tuggurt Expedition,Regency of Algiers\nKingdom of Beni Abbas,Sultanate of Tuggurt,,https://en.wikipedia.org/wiki/Tuggurt_Expedition_(1552),
1552,1552,Siege of Kazan,Tsardom of Russia\nQasim Khanate\nTaw yağı,Kazan Khanate\nCheremis and Ar warriors\nNogay cavalry,,https://en.wikipedia.org/wiki/Siege_of_Kazan,
1552,1556,Kazan rebellion of 1552–1556,Tsardom of Russia\nHill Cheremisa,People of Kazan\nChyuvasha\nMeadow Cheremisa\nHill Cheremisa,,https://en.wikipedia.org/wiki/Kazan_rebellion_of_1552%E2%80%931556,
,,,,Ar people\nNogai Horde,,,
1554,1554,Wyatt's rebellion,Kingdom of England,Rebels under Thomas Wyatt,,https://en.wikipedia.org/wiki/Wyatt's_rebellion,
1554,1557,Russo-Swedish War (1554–\n1557),Tsardom of Russia,Sweden,,https://en.wikipedia.org/wiki/Russo-Swedish_War_(1554%E2%80%931557),https://en.wikipedia.org/wiki/Russo-Swedish_War_(1554%E2%80%931557)
1555,1558,Saukrieg,Party of Hans von Carlowitz,Party of John IX of Haugwitz,,https://en.wikipedia.org/wiki/Saukrieg,
1555,1567,France Antarctique,Portuguese Empire\nTamoio People,France\nTupinambá People,,https://en.wikipedia.org/wiki/France_Antarctique,
1557,1589,Ottoman conquest of Habesh,Ottoman Empire,Habesh,,https://en.wikipedia.org/wiki/Ottoman_conquest_of_Habesh,
1558,1566,Ottoman–Portuguese conflicts\n(1538–1559),Portuguese Empire,Ottoman Empire\nEgypt\nBarbary States,,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Portuguese_conflicts_(1538%E2%80%931559),https://en.wikipedia.org/wiki/Ottoman%E2%80%93Portuguese_conflicts_(1538%E2%80%931559)
1558,1567,Shane O'Neill's rebellion,Kingdom of England,Irish Rebels,,https://en.wikipedia.org/wiki/Shane_O'Neill's_rebellion,
1558,1583,Livonian War,Livonian Confederation\nPolish–Lithuanian\nCommonwealth\n(before 1569 the Polish–\nLithuanian union)\nDenmark–Norway\nSweden\nZaporozhian Cossacks\nPrincipality of\nTransylvania (after 1577)[6],Tsardom of Russia\nKingdom of Livonia,,https://en.wikipedia.org/wiki/Livonian_War,
1559,1559,Crimean-Circassian War\n(1569),Kabardia,Crimean Khanate,,https://en.wikipedia.org/wiki/Crimean-Circassian_War_(1569),https://en.wikipedia.org/wiki/Crimean-Circassian_War_(1569)
1560,1621,Portuguese conquest of the\nJaffna kingdom,Kingdom of Portugal,Jaffna Kingdom,,https://en.wikipedia.org/wiki/Portuguese_conquest_of_the_Jaffna_kingdom,https://en.wikipedia.org/wiki/Portuguese_conquest_of_the_Jaffna_kingdom
1562,1598,French Wars of Religion,Politiques,Protestants:\nHuguenots\nEngland\nCatholics:\nCatholic League\nSpain\nDuchy of Savoy,,https://en.wikipedia.org/wiki/French_Wars_of_Religion,
1563,1564,Burmese–Siamese War\n(1563–1564),Toungoo dynasty,Ayutthaya Kingdom,,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1563%E2%80%931564),https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1563%E2%80%931564)
1563,1570,Northern Seven Years' War,Sweden,Denmark–Norway\nFree City of Lübeck\nPoland–Lithuania,,https://en.wikipedia.org/wiki/Northern_Seven_Years'_War,
1564,1565,Mariovo and Prilep rebellion,Ottoman Empire,Christian rebels,,https://en.wikipedia.org/wiki/Mariovo_and_Prilep_rebellion,
1564,1567,Mughal conquest of Garha,Mughal Empire,Garha Kingdom,,https://en.wikipedia.org/wiki/Mughal_conquest_of_Garha,
1567,1872,Philippine revolts against\nSpain,Spain\nFilipino Loyalists,Dagohoy rebel group\nother Filipino rebel groups\nBritish supporters,,https://en.wikipedia.org/wiki/Philippine_revolts_against_Spain,https://en.wikipedia.org/wiki/Philippine_revolts_against_Spain
,,nan,nan,nan,,,
1568,1570,Burmese–Siamese War\n(1568–1569),Toungoo dynasty\nBurmese-controlled Thai\nstates,Siam\nLan Xang,,https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1568%E2%80%931569),https://en.wikipedia.org/wiki/Burmese%E2%80%93Siamese_War_(1568%E2%80%931569)
