Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link
,,nan,Victorious party (if\napplicable),Defeated party (if\napplicable),,,
1500,1500,Bruneian–Tundun War,Bruneian Empire,Tondo,,,
1500,1503,Second Muscovite–Lithuanian\nWar\nMuscovite–Lithuanian Wars,Grand Principality of\nMoscow,Grand Duchy of\nLithuania,,https://en.wikipedia.org/wiki/Second_Muscovite%E2%80%93Lithuanian_War,https://en.wikipedia.org/wiki/Second_Muscovite%E2%80%93Lithuanian_War
1500,1500,Battle of Hemmingstedt,Peasantry of Dithmarschen,Kalmar Union\nDenmark,,https://en.wikipedia.org/wiki/Battle_of_Hemmingstedt,
1501,1502,Azov War (1501–1502),Kabardia,Crimean Khanate,,https://en.wikipedia.org/wiki/Azov_War_(1501%E2%80%931502),
1501,1512,Dano-Swedish War (1501–\n1512)\n,Sweden\nFree City of Lübeck\n(from 1509)\nNorwegian rebels (to 1504),Kalmar Union\nDenmark\nNorway,Dano-\nSwedish Wars,https://en.wikipedia.org/wiki/Dano-Swedish_War_(1501%E2%80%931512),https://en.wikipedia.org/wiki/Dano-Swedish_War_(1501%E2%80%931512)
1502,1510,Persian–Uzbek wars,Persian Empire\nTimurid Empire,Shaybanid dynasty,,https://en.wikipedia.org/wiki/Persian%E2%80%93Uzbek_wars,
1502,1543,Guelders Wars,Holy Roman Empire,Duchy of Guelders,,https://en.wikipedia.org/wiki/Guelders_Wars,
1503,1505,War of the Succession of\nLandshut,Duchy of Bavaria-Munich,Duchy of Bavaria-\nLandshut\nElectorate of the Palatinate,,https://en.wikipedia.org/wiki/War_of_the_Succession_of_Landshut,https://en.wikipedia.org/wiki/War_of_the_Succession_of_Landshut
1505,1517,Portuguese–Mamluk naval\nwar,Portugal,Mamluk Sultanate\nOttoman Empire,,https://en.wikipedia.org/wiki/Portuguese%E2%80%93Mamluk_naval_war,https://en.wikipedia.org/wiki/Portuguese%E2%80%93Mamluk_naval_war
1505,1517,Ottoman–Persian War (1505–\n1517),Ottoman Empire,Safavid Iran,,https://en.wikipedia.org/wiki/Ottoman%E2%80%93Persian_War_(1505%E2%80%931517),https://en.wikipedia.org/wiki/Ottoman%E2%80%93Persian_War_(1505%E2%80%931517)
1505,1506,Austrian-Hungarian War\n(1505-1506),Holy Roman Empire,Kingdom of Hungary,,https://en.wikipedia.org/wiki/Austrian-Hungarian_War_(1505-1506)?action=edit&redlink=1,https://en.wikipedia.org/wiki/Austrian-Hungarian_War_(1505-1506)?action=edit&redlink=1
1507,1508,Third Muscovite–Lithuanian\nWar\nMuscovite–Lithuanian Wars,Grand Duchy of\nLithuania\nKingdom of Poland,Grand Principality of\nMoscow\nLithuanian rebels led by\nMichael Glinski,,https://en.wikipedia.org/wiki/Third_Muscovite%E2%80%93Lithuanian_War,https://en.wikipedia.org/wiki/Third_Muscovite%E2%80%93Lithuanian_War
1508,1516,War of the League of Cambrai\n,1508–10:\nFrance\nPapal States\nHoly Roman Empire\nSpain\nDuchy of Ferrara\n1511–13:\nFrance\nDuchy of Ferrara\n1513–16:\nFrance\nVenice\nScotland\nDuchy of Ferrara,1508–10:\nVenice\n1510–11:\nPapal States\nVenice\n1511–13:\nPapal States\nVenice\nSpain\nHoly Roman Empire\nEngland\nSwiss mercenaries\n1513–16:\nPapal States\nSpain,Italian Wars and\nAnglo-French War (1512–14),https://en.wikipedia.org/wiki/War_of_the_League_of_Cambrai,https://en.wikipedia.org/wiki/Italian_Wars
,,,,Holy Roman Empire\nEngland\nDuchy of Milan\nSwiss mercenaries,,,
1509,1509,Second Invasion of the\nKazakh Khanate (1509),Kazakh Khanate,Khanate of Bukhara,,https://en.wikipedia.org/wiki/Second_Invasion_of_the_Kazakh_Khanate_(1509),https://en.wikipedia.org/wiki/Second_Invasion_of_the_Kazakh_Khanate_(1509)
