Started,Ended,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
1972,Ongoing,"Ituri conflict
","Hema ethnic group:
UPC
RCD/K- FAPC
ML
Uganda[234]
DR Congo
(FARDC)
UN (MONUC)
EU (Artemis)","Lendu ethnic group:
FNI FPJC
FRPI CODECO
Mai-Mai Simba
ADF
IS-CAP
Mai-Mai Kyandenga[235]","Second
Congo War and the
Kivu conflict",,
1999,1999[236][237],"War of Dagestan
","Russia
Armed Forces
Army
Navy
Air Force
VDV
Spetsnaz GRU
FSB
MVD
Militsiya
Internal Troops
OMON
Dagestan
Dagestani
police and local
militia","Islamic Djamaat of
Dagestan
CPID
Chechnya
IIPB
SPIR
Religious Police","spillover of the
Second Chechen War,
Post-Soviet conflicts",,
1999,2009,"Second Chechen War
","Russia
Provisional Council
(until 2000)
Chechen Republic
(from 2000)","Chechen Republic of
Ichkeria (1999–2007)
Caucasian Front (2005–2007)
Caucasus Emirate (2007–
2009)
North Caucasian volunteers
Mujahideen[238][239][240][241]
Grey Wolves[242][243][244]","Chechen-
Russian conflict and the
Post-Soviet conflicts",,
,,,,,,,
2000,2000,"Six-Day War (2000)
",Rwanda,Uganda,"Second
Congo War",,
2000,2005,"Second Intifada
",Israel,"Palestinian Authority
PLO
Fatah
Popular Front for the
Liberation of Palestine
Democratic Front for the
Liberation of Palestine
Hamas
Palestinian Islamic Jihad
Popular Resistance
Committees","Israeli–
Palestinian conflict",,
2000,2006,"2000–2006 Shebaa
Farms conflict
",Israel,Hezbollah,"Israeli–
Lebanese conflict and
the Iran–Israel proxy
conflict",,
2001,2001,"2001 insurgency in
Macedonia Part of the
Yugoslav Wars",Macedonia,"National Liberation Army
Albanian National Army[245]",,,
2001,2001,"2001 Bangladesh–
India border clashes",Bangladesh,India,,,
2001,2001,"2001 Special
Operations Unit
mutiny","Special Operations
Unit
Zemun Clan
Support:
President of FR
Yugoslavia
Democratic Party of
Serbia
Socialist Party of Serbia
Serbian Radical Party
New Serbia","Government of Serbia
Support:
Democratic Party
New Democracy
Christian Democratic Party of
Serbia",,,
2001,2003,"Islamist insurgency in
Iraqi Kurdistan
","Kurdistan Region
PUK
United States
(armed involvement
after Viking Hammer)","Islamic Emirate of Kurdistan
Ansar al-Islam[246][247]
Kurdistan Islamic Group[246]
Kurdistan Islamic
Movement[248]
Supported by:
Iran (alleged by PUK)[249]
KDP (alleged by PUK)[249]","Iraqi no-fly
zones conflict, the
Iraq War, Islamism in
Kurdistan, and the
war on terror",,
2001,Ongoing,"War on terror
","Main countries:
United States
United Kingdom
Germany
Italy
Canada
France
Australia
New Zealand
Netherlands
Poland
Turkey","Main opponents:
Al-Qaeda
Islamic State[note 2]
First Islamic Emirate of
Afghanistan (Taliban)
Ba'athist Iraq[note 3]
Iraqi Ba'athist insurgents","post-Cold War
and post-9/11 eras",,
2001,2021,"Taliban insurgency
","Taliban
· Haqqani network[250]
(from 2002)
al-Qaeda
· Al-Qaeda in the Indian
Subcontinent[251]
Taliban splinter groups
· Mullah Dadullah Front","Islamic State of Afghanistan
(2001–2002)
Afghan Transitional Authority
(2002–2004)
Islamic Republic of Afghanistan
(2004–2021)
Afghan National Security Forces
ISAF (2001–2014)
Albania","War in
Afghanistan (2001–
2021), the Afghan
conflict, and the war
on terror",,
,,,,,,,
,,,"(from 2012)[252]
· Fidai Mahaz (from 2013)
Supported by:
Hezb-e-Islami
Gulbuddin
(on and off until 2016)
Islamic Jihad
Union[253][254]
(from 2002)
Islamic Movement of
Uzbekistan (until 2015)
Turkistan Islamic Party
Lashkar-e-Jhangvi[255]
Pakistani Taliban[256]
Lashkar-e-Islam
Iran (alleged, but
denied by Iran)[257]
Pakistan (alleged, but
denied by
Pakistan)[258][259]
Russia (alleged, but
denied by
Russia)[260][261][262]
Saudi Arabia (alleged,
but denied by Saudi
Arabia)[263][264]
Qatar (alleged by
Saudi Arabia, but denied
by Qatar)[265][266]
China (alleged by the
US, but denied by
China)[267][268]","Armenia (IPAP)
Australia (GP)
Austria (PfP)
Azerbaijan (PfP)
Bahrain (ICI)
Belgium
Bosnia and Herzegovina
(IPAP)
Bulgaria[fn 1]
Canada
Croatia
Czech Republic
Denmark
El Salvador
Estonia
Finland (PfP)
France
Georgia[fn 1] (IPAP)
Germany[fn 1]
Greece
Hungary
Iceland
Iran
Ireland (PfP)
Italy[fn 1]
Jordan[fn 1] (MD)
Latvia
Lithuania
Luxembourg
Malaysia
Mongolia (GP)
Montenegro (PfP)
Netherlands
New Zealand (GP)
Norway
Pakistan
Poland[fn 1]
Portugal
North Macedonia (MAP)
Romania[fn 1]
Singapore (2008–13)
Slovakia
Slovenia
South Korea (GP)
Spain
Sweden (PfP)
Switzerland (2004–08) (PfP)
Tonga
Turkey[fn 1]
Ukraine (PfP)
United Arab Emirates (ICI)
United Kingdom[fn 1]
United States[fn 1]
RS (2015 onwards)[269]
Luxembourg
Slovenia
New Zealand
Greece
Austria
Ukraine
Sweden
Montenegro
Latvia
Estonia
North Macedonia
Lithuania
Slovakia
Norway
Finland
Bosnia and Herzegovina
Belgium
Hungary
Albania",,,
,,,,"Azerbaijan
Armenia
Denmark
Bulgaria
Netherlands
Portugal
Mongolia
Poland
Australia
Croatia
Czech Republic
Georgia (IPAP)
Germany
Italy
Romania
Spain
Turkey
United Kingdom
United States
1. Major contributing nations with
more than 200 troops as of May
2015
Allied militias
High Council of the Islamic
Emirate of Afghanistan (allegedly
since
2015)[270][271][272][273][274][275]
Jamiat-e Islami[276]
Junbish-i-Milli[276]
Hezbe Wahdat[277]",,,
2002,2017,"Operation Enduring
Freedom – Philippines
","Philippines
Armed Forces of
the Philippines
Philippine National
Police
United States
(advisors)
Armed Forces of
the United States
CIA","Islamic jihad
Abu Sayyaf
BIFF
Maute Group
Moro Islamic Liberation Front
(until 2012)
Islamic State of Iraq and the
Levant (de facto)","Philippine
civil conflict, Islamic
terrorism and Global
War on Terror",,
2002,2003,"2002–2003 conflict in the
Pool Department","Republic of the
Congo",Ninja militia,,,
2002,2007,"First Ivorian Civil War
","Ivory Coast
COJEP
Supported by:
Belarus","FNCI
Alleged support:
Burkina Faso
Liberia
France
UNOCI","Ivorian Civil
Wars",,
2002,Ongoing,"Operation Enduring
Freedom – Horn of
Africa","United Kingdom
United States","Insurgents:
Islamic State of Iraq and the
Levant
(from 2015)
al-Qaeda
(from 2002)
Al-Shabaab
(from 2006)
al-Itihaad al-Islamiya
(2002–06)
Hizbul Islam
(2009–14)
Ras Kamboni Brigades
(2007–10)
Jabhatul Islamiya
(2007–09)",,,
,,,,"Mu'askar Anole
(2007–09)",,,
,,,,,,,
