Start,Finish,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
1931/32,1932,Najran conflict,Saudi Arabia,Yemen,,https://en.wikipedia.org/wiki/Najran_conflict,
1932,1932,Uukwambi uprising[8],Union of South Africa,Uukwambi rebels,,https://en.wikipedia.org/wiki/Uukwambi_uprising?action=edit&redlink=1,
1932,1932,Annexation of Jimma[92],Ethiopian Empire,Kingdom of Jimma,,https://en.wikipedia.org/wiki/Annexation_of_Jimma?action=edit&redlink=1,
1932,1932,Chechen uprising of 1932,Soviet Union,Chechen rebels,,https://en.wikipedia.org/wiki/Chechen_uprising_of_1932?action=edit&redlink=1,
1932,1933,"Two-Liu War[93][94]
","Forces of Liu Xiang
Forces of Tian Songyao
Allied warlords","Forces of Liu Wenhui
Forces of Wang Jialie
Ma Clique
Allied warlords",Warlord Era,https://en.wikipedia.org/wiki/Two-Liu_War,https://en.wikipedia.org/wiki/Warlord_Era
1932,1932,Kirghiz rebellion,Republic of China,Kirghiz rebels,,https://en.wikipedia.org/wiki/Kirghiz_rebellion,
1932,1932,La Matanza,El Salvador,Salvadoran peasants,,https://en.wikipedia.org/wiki/La_Matanza,
1932,1932,January 28 incident,Republic of China,Empire of Japan,,https://en.wikipedia.org/wiki/January_28_incident,
1932,1932,Darre Khel revolt,Kingdom of Afghanistan,Rebels,,https://en.wikipedia.org/wiki/Mohammed_Nadir_Shah#King_of_Afghanistan,
1932,1939,"Soviet–Japanese border
conflicts","Soviet Union
Mongolia","Japan
Manchukuo
Japanese Korea",,https://en.wikipedia.org/wiki/Soviet%E2%80%93Japanese_border_conflicts,https://en.wikipedia.org/wiki/Soviet%E2%80%93Japanese_border_conflicts
1932,1932,"1932 armed uprising in
Mongolia","Mongolian People's
Republic
Soviet Union",Anti-communist rebels,,https://en.wikipedia.org/wiki/1932_armed_uprising_in_Mongolia,https://en.wikipedia.org/wiki/1932_armed_uprising_in_Mongolia
1932,1932,Lesko uprising,Second Polish Republic,Peasant rebels,,https://en.wikipedia.org/wiki/Lesko_uprising,
1932,1932,Constitutionalist Revolution,Brazil,São Paulo,,https://en.wikipedia.org/wiki/Constitutionalist_Revolution,
,,,,,,,
1932,1932,Ecuadorian Civil War of 1932,Leftist and Liberal rebels,Ecuador,,https://en.wikipedia.org/wiki/Ecuadorian_Civil_War_of_1932,
1932,1932,Sanjurjada,Spanish Republic,Rebel Officers,,https://en.wikipedia.org/wiki/Sanjurjada,
1932,1933,Colombia–Peru War,Colombia,Peru,,https://en.wikipedia.org/wiki/Colombia%E2%80%93Peru_War,
1932,1935,Chaco War,Paraguay,Bolivia,,https://en.wikipedia.org/wiki/Chaco_War,
1932,1932,Emu War,Emus,Australia,,https://en.wikipedia.org/wiki/Emu_War,
1933,1933,"1933 Mohmand revolt in
Afghanistan[95]",Kingdom of Afghanistan,Mohmand rebels,,https://en.wikipedia.org/wiki/1933_Mohmand_revolt_in_Afghanistan?action=edit&redlink=1,https://en.wikipedia.org/wiki/1933_Mohmand_revolt_in_Afghanistan?action=edit&redlink=1
1933,1933,Kazym rebellion,Soviet Union,Khanty rebels,,https://en.wikipedia.org/wiki/Kazym_rebellion,
1933,1933,Casas Viejas incident,Spanish Republic,Spanish Anarchists,,https://en.wikipedia.org/wiki/Casas_Viejas_incident,
1933,1933,De Zeven Provinciën Mutiny,The Netherlands,Dutch Navy rebels,,https://en.wikipedia.org/wiki/HNLMS_De_Zeven_Provinci%C3%ABn_(1909)#Mutiny,
1933,1933,Crazy Fakir's rebellion,Kingdom of Afghanistan,Forces of the Crazy Fakir,,https://en.wikipedia.org/wiki/Amanullah_loyalism#Crazy_Fakir's_rebellion,
1933,1936,"Actions in Inner Mongolia
(1933–1936)","Empire of Japan
Manchukuo
Chinese collaborators
Mongol Military
Government (1936)",Republic of China,,https://en.wikipedia.org/wiki/Actions_in_Inner_Mongolia_(1933%E2%80%931936),https://en.wikipedia.org/wiki/Actions_in_Inner_Mongolia_(1933%E2%80%931936)
1933,1933,Boworadet Rebellion,Thailand,Rebels under Prince Boworadet,,https://en.wikipedia.org/wiki/Boworadet_Rebellion,
1934,1938,Second Cristero War,Mexican Government,Cristeros,,https://en.wikipedia.org/wiki/Second_Cristero_War?action=edit&redlink=1,
1934,1934,Mandalada,Soviet Union,Rebels,,https://en.wikipedia.org/wiki/Mandalada?action=edit&redlink=1,
1934,1934,1934 Khamba rebellion,"Tibet (1912–1951)
Sichuan clique
Chinese Communist
Party",Khamba Tribesmen,,https://en.wikipedia.org/wiki/1934_Khamba_rebellion,
1934,1934,Soviet invasion of Xinjiang,Republic of China,"Soviet Union
White Russian forces
Torgut Mongols",,https://en.wikipedia.org/wiki/Soviet_invasion_of_Xinjiang,
1934,1934,"Saudi–Yemeni War (1934)
",Saudi Arabia,Yemen,"Unification of
Saudi Arabia",https://en.wikipedia.org/wiki/Saudi%E2%80%93Yemeni_War_(1934),https://en.wikipedia.org/wiki/Unification_of_Saudi_Arabia
1934,1934,Austrian Civil War,"First Austrian Republic
Fatherland's Front","Social Democratic Party of
Austria",,https://en.wikipedia.org/wiki/Austrian_Civil_War,
1934,1934,July Putsch,Federal State of Austria,Austrian Nazis,,https://en.wikipedia.org/wiki/July_Putsch,
1934,1934,Events of 6 October,Spanish Republic,Generalitat of Catalonia,,https://en.wikipedia.org/wiki/Events_of_6_October,
1934,1934,Asturian miners' strike of 1934,Spanish Republic,Asturian Miners,,https://en.wikipedia.org/wiki/Asturian_miners'_strike_of_1934,
1934,1934,Inamujandi Revolt[96],Belgium,Burundian Rebels,,https://en.wikipedia.org/wiki/Inamujandi_Revolt?action=edit&redlink=1,
1935,1935,Narrenrevolte,Nazi Germany,Rebels,,https://en.wikipedia.org/wiki/Fools'_Revolt,
1935,1935,Mohmand campaign of 1935,British Empire,Mohmand tribesmen,,https://en.wikipedia.org/wiki/Mohmand_campaign_of_1935,
1935,1936,1935–1936 Iraqi Shia revolts,Kingdom of Iraq,Shia tribesmen,,https://en.wikipedia.org/wiki/1935%E2%80%931936_Iraqi_Shia_revolts,
1935,1935,1935 Greek coup d'état attempt,"Second Hellenic
Republic",Venizelist rebels,,https://en.wikipedia.org/wiki/1935_Greek_coup_d'%C3%A9tat_attempt,
1935,1935,May 2 uprising,United States,Sakdalista,,https://en.wikipedia.org/wiki/Sakdalista#May_2_Uprising,
1935,1935,Goharshad Mosque rebellion,Iran,Bazaaris,,https://en.wikipedia.org/wiki/Goharshad_Mosque_rebellion,
1935,1935,1935 Yazidi revolt,Kingdom of Iraq,Yazidis,,https://en.wikipedia.org/wiki/1935_Yazidi_revolt,
,,,,,,,
1935,1937,Second Italo-Ethiopian War,Kingdom of Italy,Ethiopian Empire,,https://en.wikipedia.org/wiki/Second_Italo-Ethiopian_War,
1935,1935,"Brazilian communist uprising of
1935",Brazil,Brazilian Communist Party,,https://en.wikipedia.org/wiki/Brazilian_communist_uprising_of_1935,https://en.wikipedia.org/wiki/Brazilian_communist_uprising_of_1935
1936,1936,Scythe Cross rebellion,Kingdom of Hungary,"Hungarian National Socialist
Party",,https://en.wikipedia.org/wiki/Scythe_Cross_rebellion,
1936,1936,February 26 incident,Empire of Japan,Righteous Army,,https://en.wikipedia.org/wiki/February_26_incident,
1936,1939,"1936–1939 Arab revolt in
Palestine
","United Kingdom
British Army
Palestine Police Force
Jewish Settlement Police
Jewish Supernumerary Police
Haganah
Special Night Squads
FOSH
Peulot Meyuhadot
Irgun
Peace Bands",Arab Higher Committee,"Intercommunal
conflict in Mandatory
Palestine",https://en.wikipedia.org/wiki/1936%E2%80%931939_Arab_revolt_in_Palestine,https://en.wikipedia.org/wiki/1936%E2%80%931939_Arab_revolt_in_Palestine
1936,1939,Spanish Civil War,"National faction
Falange
Carlists (1936–1937)
CEDA (1936–1937)
Alfonsists (1936–1937)
Army of Africa
Supported by:
Italy
Germany
Portugal
Foreign volunteers","Republican faction
Spanish Republican
Army
Popular Front
CNT/FAI
UGT
ERC
Basque Army (1936–
1937)
Galicianist Party
Supported by:
International Brigades
Soviet Union (1936–1938)
Mexico
France (1936)",,https://en.wikipedia.org/wiki/Spanish_Civil_War,
1936,1936,1936 Naval Revolt,Portugal,"Revolutionary Armed
Organization",,https://en.wikipedia.org/wiki/1936_Naval_Revolt,
1936,1936,1936 Iraqi coup d'état,Bakr Sidqi's supporters,Iraqi Government,,https://en.wikipedia.org/wiki/1936_Iraqi_coup_d'%C3%A9tat,
1936,1939,"Waziristan campaign (1936–
1939)","British Empire
India",Waziristan,,https://en.wikipedia.org/wiki/Waziristan_campaign_(1936%E2%80%931939),https://en.wikipedia.org/wiki/Waziristan_campaign_(1936%E2%80%931939)
1937,1939,Katawz rebellion[97],Kingdom of Afghanistan,Rebels,,https://en.wikipedia.org/wiki/Katawz_rebellion?action=edit&redlink=1,
1937,1937,Afghan tribal revolts of 1937[95],Kingdom of Afghanistan,"Rebel tribes:
Mohmand
Shinwari
Sulaimankhel",,https://en.wikipedia.org/wiki/Afghan_tribal_revolts_of_1937?action=edit&redlink=1,
1937,1937,Dieu Python movement,French Indochina,Degar rebels,,https://en.wikipedia.org/wiki/Dieu_Python_movement,
1937,1938,Dersim rebellion,Turkey,Dersim tribes,,https://en.wikipedia.org/wiki/Dersim_rebellion,
1937,1937,"Islamic rebellion in Xinjiang
(1937)","Soviet Union
White Russian forces",Republic of China,,https://en.wikipedia.org/wiki/Islamic_rebellion_in_Xinjiang_(1937),https://en.wikipedia.org/wiki/Islamic_rebellion_in_Xinjiang_(1937)
1937,1945,"Second Sino-Japanese War
Part of World War II","Republic of China
Soviet Union (1937–
1941; 1944–1945)
United States","Empire of Japan
Reorganized National
Government of China
Manchukuo",,https://en.wikipedia.org/wiki/Second_Sino-Japanese_War,https://en.wikipedia.org/wiki/World_War_II
,,,"(1941–1945)
British Empire
(1942–1945)",Mengjiang,,,
1938,1938,Integralist Uprising,Brazil,Brazilian Integralist Action,,https://en.wikipedia.org/wiki/Integralist_Uprising,
1938,1939,"Afghan tribal revolts of
1938[97][98]",Kingdom of Afghanistan,"Rebel tribes:
Shinwari[99]
Suleimankhel
Ghilzai
Alizai[100]",,https://en.wikipedia.org/wiki/Afghan_tribal_revolts_of_1938?action=edit&redlink=1,https://en.wikipedia.org/wiki/Afghan_tribal_revolts_of_1938?action=edit&redlink=1
1938,1938,1938 Greek coup d'état attempt,"Second Hellenic
Republic",Venizelist rebels,,https://en.wikipedia.org/wiki/1938_Greek_coup_d'%C3%A9tat_attempt,
1938,1938,Sudeten German uprising,"Sudetendeutsches
Freikorps
Germany",Czechoslovakia,,https://en.wikipedia.org/wiki/Sudeten_German_uprising,
1939,1939,"Hungarian invasion of
Carpatho-Ukraine",Kingdom of Hungary,Carpatho-Ukraine,,https://en.wikipedia.org/wiki/Hungarian_invasion_of_Carpatho-Ukraine,https://en.wikipedia.org/wiki/Hungarian_invasion_of_Carpatho-Ukraine
1939,1939,Slovak–Hungarian War,Kingdom of Hungary,Slovak Republic,,https://en.wikipedia.org/wiki/Slovak%E2%80%93Hungarian_War,
1939,1965,Maquis insurgency,Nationalist Spain,Spanish Maquis,,https://en.wikipedia.org/wiki/Spanish_Maquis,
1939,1939,Italian invasion of Albania,Kingdom of Italy,Albanian Kingdom,,https://en.wikipedia.org/wiki/Italian_invasion_of_Albania,
1939,1945,World War II,"Allied Powers:
Soviet Union
United States
United Kingdom
China
Free France
Poland
Yugoslavia
Greece
Netherlands
Belgium
Luxembourg
Norway
Czechoslovakia
Canada
Australia
New Zealand
South Africa
Philippines
Ethiopia
Brazil
Mongolia
Mexico
and others...","Axis Powers:
Germany
Japan
Italy
Hungary
Romania
Bulgaria
Finland
Thailand
and others...",,https://en.wikipedia.org/wiki/World_War_II,
1939,1939,1939 Ondonga uprising[8],South Africa,Odonga rebels,,https://en.wikipedia.org/wiki/1939_Ondonga_uprising?action=edit&redlink=1,
1939,1940,"Winter War
Part of World War II",Soviet Union,Finland,,https://en.wikipedia.org/wiki/Winter_War,https://en.wikipedia.org/wiki/World_War_II
1940,1944,"1940–1944 insurgency in
Chechnya
Part of World War II and
the Chechen–Russian
conflict",Soviet Union,"Provisional Popular
Revolutionary Government of
Chechnya-Ingushetia
Supported by:
Germany (1942)",,https://en.wikipedia.org/wiki/1940%E2%80%931944_insurgency_in_Chechnya,https://en.wikipedia.org/wiki/1940%E2%80%931944_insurgency_in_Chechnya
,,,,,,,
1940,1940,"Czortków uprising
Part of World War II",Soviet Union,Polish rebels,,https://en.wikipedia.org/wiki/Czortk%C3%B3w_uprising,https://en.wikipedia.org/wiki/World_War_II
1940,1940,"Soviet occupation of the Baltic
states (1940)
Part of World War II",Soviet Union,"Estonia
Latvia
Lithuania",,https://en.wikipedia.org/wiki/Soviet_occupation_of_the_Baltic_states_(1940),https://en.wikipedia.org/wiki/Soviet_occupation_of_the_Baltic_states_(1940)
1940,1940,"Soviet occupation of
Bessarabia and Northern
Bukovina
Part of World War II",Soviet Union,Romania,,https://en.wikipedia.org/wiki/Soviet_occupation_of_Bessarabia_and_Northern_Bukovina,https://en.wikipedia.org/wiki/Soviet_occupation_of_Bessarabia_and_Northern_Bukovina
1940,1941,"Franco-Thai War
Part of World War II",Thailand,"Vichy France
French Indochina",,https://en.wikipedia.org/wiki/Franco-Thai_War,https://en.wikipedia.org/wiki/World_War_II
1941,1941,"Legionnaires' Rebellion
Part of World War II",Kingdom of Romania,Iron Guard,,https://en.wikipedia.org/wiki/Legionnaires'_rebellion_and_Bucharest_pogrom,https://en.wikipedia.org/wiki/World_War_II
1941,1941,"Anglo-Iraqi War
Part of World War II","United Kingdom
British India
Transjordan","Kingdom of Iraq
Nazi Germany
Kingdom of Italy",,https://en.wikipedia.org/wiki/Anglo-Iraqi_War,https://en.wikipedia.org/wiki/World_War_II
1941,1941,"June 1941 uprising in eastern
Herzegovina
Part of World War II","Independent State of
Croatia
Italy","Serb rebels from eastern
Herzegovina and Montenegro",,https://en.wikipedia.org/wiki/June_1941_uprising_in_eastern_Herzegovina,https://en.wikipedia.org/wiki/June_1941_uprising_in_eastern_Herzegovina
1941,1944,"Continuation War
Part of World War II","Soviet Union
United Kingdom","Finland
Nazi Germany
Kingdom of Italy",,https://en.wikipedia.org/wiki/Continuation_War,https://en.wikipedia.org/wiki/World_War_II
1941,1941,Ecuadorian–Peruvian War,Peru,Ecuador,,https://en.wikipedia.org/wiki/Ecuadorian%E2%80%93Peruvian_War,
1941,1941,"Uprising in Serbia (1941)
Part of World War II","Government of National
Salvation
Nazi Germany","Partisans
Chetniks",,https://en.wikipedia.org/wiki/Uprising_in_Serbia_(1941),https://en.wikipedia.org/wiki/World_War_II
1941,1944,"Hama Rashid revolt
",Iran,Kurdish tribes,"Kurdish
separatism in Iran and
World War II",https://en.wikipedia.org/wiki/Hama_Rashid_revolt,https://en.wikipedia.org/wiki/Kurdish_separatism_in_Iran
1942,1954,"Hukbalahap Rebellion (During
WWII)","Philippines
United States","Hukbalahap
Soviet Union
Japan",,https://en.wikipedia.org/wiki/Hukbalahap_Rebellion,https://en.wikipedia.org/wiki/World_War_II
1943,1943,1943 Khuzestan revolt[101],Iran,Khuzistan rebels,,https://en.wikipedia.org/wiki/1943_Khuzestan_revolt?action=edit&redlink=1,
1943,1945,"1943 Barzani revolt
","Kingdom of Iraq
Supported by:
Kurdish tribesmen (1945)
Zibrari
Berwari
Doski
Elements of the
‘Muhajarin' tribe","Kurdish rebels
Barzani tribesmen
Allied Kurdish tribes","Iraqi–Kurdish
conflict",https://en.wikipedia.org/wiki/1943_Barzani_revolt,https://en.wikipedia.org/wiki/Iraqi%E2%80%93Kurdish_conflict
,,,,,,,
1943,1943,Woyane rebellion,"Ethiopian Empire
UK",Woyanne rebels,,https://en.wikipedia.org/wiki/Woyane_rebellion,
1943,1945,"Italian Civil War
Part of World War II","Italian Resistance
Kingdom of Italy
Allied Powers","Italian Social Republic
Nazi Germany",,https://en.wikipedia.org/wiki/Italian_Civil_War,https://en.wikipedia.org/wiki/World_War_II
1943,1944,"Jesselton revolt
Part of World War II",Empire of Japan,Kinabalu rebels,,https://en.wikipedia.org/wiki/Jesselton_revolt,https://en.wikipedia.org/wiki/World_War_II
1943,1949,"Ukrainian Insurgent Army
insurgency","Soviet Union
People's Republic of
Poland
Polish Underground
State
Nazi Germany (1941–
1944)",Ukrainian Insurgent Army,,https://en.wikipedia.org/wiki/Ukrainian_Insurgent_Army,
1944,1945,"1944–1945 Insurgency in
Balochistan","United Kingdom
British India",Badinzai rebels,,https://en.wikipedia.org/wiki/1944%E2%80%931945_Insurgency_in_Balochistan,https://en.wikipedia.org/wiki/1944%E2%80%931945_Insurgency_in_Balochistan
1944,1946,"Anti-communist resistance in
Poland (1944–1953)","People's Republic of
Poland
Soviet Union",Cursed soldiers,,https://en.wikipedia.org/wiki/Anti-communist_resistance_in_Poland_(1944%E2%80%931953),https://en.wikipedia.org/wiki/Anti-communist_resistance_in_Poland_(1944%E2%80%931953)
1944,1947,"Afghan tribal revolts of 1944–
1947","Afghanistan
• Allied Nuristani and
Shinwari tribesmen
British Empire
• India","Rebel tribes:
Zadran (1944–1947)
Safi (until 1946)
Mangal (1945)",,https://en.wikipedia.org/wiki/Afghan_tribal_revolts_of_1944%E2%80%931947,https://en.wikipedia.org/wiki/Afghan_tribal_revolts_of_1944%E2%80%931947
1944,1948,"Jewish insurgency in Mandatory
Palestine","Jewish Resistance
Movement
Haganah
Irgun
Lehi","British Army
Royal Navy
Royal Air Force
Palestine Police Force",,https://en.wikipedia.org/wiki/Jewish_insurgency_in_Mandatory_Palestine,https://en.wikipedia.org/wiki/Jewish_insurgency_in_Mandatory_Palestine
1944,1944,"Luluabourg and Jadotville
Mutiny[102]",Belgian Congo,Force Publique Mutineers,,https://en.wikipedia.org/wiki/Luluabourg_mutiny,https://en.wikipedia.org/wiki/Luluabourg_mutiny
1944,1944,Masisi-Lubutu revolt,Belgian Congo,Watchtower Movement,,https://en.wikipedia.org/wiki/Masisi-Lubutu_revolt?action=edit&redlink=1,
1944,1944,"Palm Sunday Coup
Part of World War II",El Salvador,Pro-Axis rebels,,https://en.wikipedia.org/wiki/Palm_Sunday_Coup,https://en.wikipedia.org/wiki/World_War_II
1944,1945,"Lapland War
Part of World War II",Finland,Nazi Germany,,https://en.wikipedia.org/wiki/Lapland_War,https://en.wikipedia.org/wiki/World_War_II
1944,1949,Ili Rebellion,"Chinese Communist
Party
Second East Turkestan
Republic
Soviet Union
White Russian forces
Mongolian People's
Republic","Republic of China
National Revolutionary Army",,https://en.wikipedia.org/wiki/Ili_Rebellion,
1944,1960,Goryani Insurgency,"People's Republic of
Bulgaria",Goryani,,https://en.wikipedia.org/wiki/Goryani,
1944,1956,Guerrilla war in the Baltic states,Soviet Union,Forest Brothers,,https://en.wikipedia.org/wiki/Guerrilla_war_in_the_Baltic_states,
