Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1957,1958,"Ifni War
","Morocco
Army of Liberation
Allied Sahrawi tribes","Spain
West Africa
France (1958)
Mauritania","decolonisation of
Africa",https://en.wikipedia.org/wiki/Ifni_War,https://en.wikipedia.org/wiki/Decolonisation_of_Africa
1957,1961,PRRI and Permesta rebellion,Indonesia,"Revolutionary Government
of the Republic of Indonesia
Permesta",,,
Late 1950s,Late 1950s,"Anti-taxation uprising in
Afghanistan[60]",Afghanistan,Hazara rebels,,https://en.wikipedia.org/wiki/Anti-taxation_uprising_in_Afghanistan?action=edit&redlink=1,https://en.wikipedia.org/wiki/Anti-taxation_uprising_in_Afghanistan?action=edit&redlink=1
1958,1958,"14 July Revolution
","Free Officers
19th Brigade
20th Brigade","Arab Federation
Kingdom of Iraq
Royal Guard
Supported by:
Kingdom of Jordan",Arab Cold War,https://en.wikipedia.org/wiki/14_July_Revolution,https://en.wikipedia.org/wiki/Arab_Cold_War
1958,1958,"1958 Lebanon crisis
","Government
Lebanese Armed
Forces","Opposition
Najjadeh Party","Cold War and the
Arab Cold War",https://en.wikipedia.org/wiki/1958_Lebanon_crisis,https://en.wikipedia.org/wiki/Cold_War
,,,"Kataeb Party
Syrian Social
Nationalist Party
ARF
Supported by:
United States","Progressive Socialist
Party
Lebanese Communist
Party
Al-Mourabitoun
Supported by:
United Arab Republic",,,
1958,1958,"Second Taiwan Strait Crisis
","People's Republic of
China","Republic of China
United States","Chinese Civil
War and the Cold War",https://en.wikipedia.org/wiki/Second_Taiwan_Strait_Crisis,https://en.wikipedia.org/wiki/Chinese_Civil_War
1958,Ongoing,"Ethnic conflict in Nagaland
","India
Indian Armed Forces
Central Reserve Police
Force
Border Security Force
State of Arunachal
Pradesh
Arunachal Pradesh Police
State of Assam
Assam Police
State of Nagaland
Nagaland Police
State of Manipur
Manipur Police
Manipur Rifles
Myanmar
Sagaing Region
Tatmadaw
BGF
NSCN-IM
RNHPF (2013–17)
NSCN-K (YA)
(2017– )
NSCN-R (AC)
ANLF
RGN (1968–73)","NFA (Until 1980)
NSCN (1980-88)
NSCN Dissidents
(1988-)
NSCN-K (NS) (2020-)
NSCN-K (AM) (2023-)
NSCN-K (IS)
(2023– )
Local Sumi militias
ZUF
MNPF
MNRF (Until 2013)
UNPC (Until 2013)","Insurgency in
Northeast India",https://en.wikipedia.org/wiki/Ethnic_conflict_in_Nagaland,https://en.wikipedia.org/wiki/Insurgency_in_Northeast_India
1958,1959,"North Vietnamese invasion of
Laos
","North Vietnam
Pathet Lao",Laos,"Vietnam War and
Laotian Civil War",https://en.wikipedia.org/wiki/North_Vietnamese_invasion_of_Laos,https://en.wikipedia.org/wiki/North_Vietnamese_invasion_of_Laos
1958,1959,"Mexico–Guatemala conflict
",Guatemala,Mexico,"Guatemala–
Mexico relations",https://en.wikipedia.org/wiki/Mexico%E2%80%93Guatemala_conflict,https://en.wikipedia.org/wiki/Guatemala%E2%80%93Mexico_relations
1959,1959,"Spirit Soldier rebellion (1959)
",China,"""Regiment of Spirit
Soldiers""","resistance against
the Great Leap Forward",https://en.wikipedia.org/wiki/Spirit_Soldier_rebellion_(1959),https://en.wikipedia.org/wiki/Great_Leap_Forward#Resistance
1959,1959,"1959 Tibetan uprising
","People's Republic of
China
People's Liberation
Army","Tibetan and Khampa
protesters and guerrillas
Remnants of the Tibetan
Army
Simultaneous rebellion in Kham
and Amdo:
Chushi Gangdruk
Supported by:",Cold War,https://en.wikipedia.org/wiki/1959_Tibetan_uprising,https://en.wikipedia.org/wiki/Cold_War
,,,,"Republic of China
United States (CIA)
India (diplomatic)",,,
1959,1959,"1959 Mosul uprising
","Iraqi Government
Communist Party
Kurdistan Democratic
Party[61][62]
Arab, Kurdish, and
Assyrian peasants[63][64]","Arab nationalists
Ba'ath Party
Sympathetic Arab
tribes
Supported by:
United Arab
Republic[65][66][67]
United States[68]
CIA (alleged)","Arab Cold War
and Aftermath of the 14 July
Revolution",https://en.wikipedia.org/wiki/1959_Mosul_uprising,https://en.wikipedia.org/wiki/Arab_Cold_War
1959,1975,"Laotian Civil War
","Pathet Lao
North Vietnam
Neutralists (1960–1962)
Patriotic Neutralists
(1963–1969)","Kingdom of Laos
Neutralists
(1962–1966)
United States
South Vietnam
(until 1975)
Thailand
Republic of China
(until 1967)","Vietnam War, the
Indochina Wars, and the
Cold War in Asia",https://en.wikipedia.org/wiki/Laotian_Civil_War,https://en.wikipedia.org/wiki/Vietnam_War
1959,1965,"Escambray rebellion
","Government of
Cuba
Supported by:
Soviet Union","Insurgents:
Anti-communists
Batista loyalists
Supported by:
CIA (1959–1961)
Dominican Republic
(1960)[69]
Partido Auténtico[70]","consolidation of
the Cuban Revolution",https://en.wikipedia.org/wiki/Escambray_rebellion,https://en.wikipedia.org/wiki/Consolidation_of_the_Cuban_Revolution
1959,1959,Pashtun Revolt in Kandahar,Afghanistan,Pashtun rebels,,https://en.wikipedia.org/wiki/Pashtun_Revolt_in_Kandahar?action=edit&redlink=1,
1959,1959,Upper Yafa disturbances[71],"United Kingdom
Upper Yafa","Rebels
Supported by:
Yemen",,https://en.wikipedia.org/wiki/Upper_Yafa_disturbances?action=edit&redlink=1,
1959,1959,"Cuban invasion of
Panama[72]","Panama
United States
Guatemala","Cuba
Revolutionary Action
Movement
May 22 Youth
Revolutionary Movement",,https://en.wikipedia.org/wiki/Cuban_invasion_of_Panama,https://en.wikipedia.org/wiki/Cuban_invasion_of_Panama
1959,1959,"1959 Viqueque rebellion
",Estado Novo,Permesta,"Cold War and the
decolonization of Asia",https://en.wikipedia.org/wiki/1959_Viqueque_rebellion,https://en.wikipedia.org/wiki/Cold_War
1959,1959,"Cuban invasion of the
Dominican Republic",Dominican Republic,Cuba,,https://en.wikipedia.org/wiki/Foreign_interventions_by_Cuba#1959_Dominican_Republic_invasion_attempt,https://en.wikipedia.org/wiki/Foreign_interventions_by_Cuba#1959_Dominican_Republic_invasion_attempt
1959,2011,"Basque conflict
","Spain
Ertzaintza
National Police Corps
Spanish Army
Civil Guard
Armed Police Corps
Anti-Terrorist Liberation
Groups (1983–1987)[73][74]
France
National Gendarmerie
National Police","Anti-communist
paramilitaries:
Spanish Basque Battalion
(1975–1981)
Anti-Communist Apostolic
Alliance (1976–1983)
Spanish Armed Groups
(1979–1980)
Warriors of Christ the King
(1968–1980)
Spanish National Action
(unknown)
ETA Anti-Terrorism (1970s)
Anti-Marxist Commandos
(unknown)
Falange y Tradición (2009)","European
separatist movements in the
Basque Country",https://en.wikipedia.org/wiki/Basque_conflict,https://en.wikipedia.org/wiki/List_of_active_separatist_movements_in_Europe
,,,,"Basque National
Liberation Movement:
Euskadi Ta Askatasuna
Iparretarrak (1972–
2000)
Iraultza (1982–1996)
Autonomous Anti-
Capitalist Commandos
(late 1970s–1980s)
Irrintzi (2005–2009)
Kale borroka
Hordago (1980s)
Euskal Zuzentasuna (1977–
1979)
Supported by:
Provisional IRA (IRA)",,,
Started,Ended,Name of conflict,Belligerents,,,,
,,,Victorious party (if applicable),Defeated party (if applicable),,,
1960,1965,"Congo Crisis
","1960–1963:
Republic of the Congo
Supported by:
Soviet Union (1960)
ONUC[m]
1963–1965:
Democratic Republic of the
Congo
United States
Belgium
Supported by:
ONUC (1964)","1960–1963:
Katanga
South Kasai
Supported by:
Belgium[n]
1960–1962:
Free Republic of the Congo
Supported by:
Soviet Union
1963–1965:
Kwilu and Simba rebels
Supported by:
Soviet Union
China
Cuba","decolonisation
of Africa and the Cold War",https://en.wikipedia.org/wiki/Congo_Crisis,https://en.wikipedia.org/wiki/Decolonisation_of_Africa
1960,1961,"Bajaur Campaign
",Pakistan,Afghanistan,"Afghanistan–
Pakistan border conflict
and the Cold War",https://en.wikipedia.org/wiki/Bajaur_Campaign,https://en.wikipedia.org/wiki/Afghanistan%E2%80%93Pakistan_border_skirmishes
1960,1996,"Guatemalan Civil War
","Government of
Guatemala and
Guatemalan military
Government-led
paramilitary organizations
Mano Blanca
Supported by:
United States (1962–
1996)[79]
Argentina (1976–1983)
Logistics:
Israel[80][81]
Taiwan[82]
Chile[83]
South Africa","URNG (from 1982)
PGT (until 1998)
MR-13 (1960–1971)
FAR (1960–1971)
EGP (1971–1996)
ORPA (1979–1996)
Supported by:
Cuba
FMLN
Nicaragua (1979–1990)","Central
American crisis and Cold
War",https://en.wikipedia.org/wiki/Guatemalan_Civil_War,https://en.wikipedia.org/wiki/Central_American_crisis
1960,1961,"1960–61 campaign at the
China–Burma border
","People's Republic of China
Union of Burma",Republic of China,"cross-strait
conflict, the internal
conflict in Myanmar, and
the Cold War in Asia",https://en.wikipedia.org/wiki/1960%E2%80%9361_campaign_at_the_China%E2%80%93Burma_border,https://en.wikipedia.org/wiki/1960%E2%80%9361_campaign_at_the_China%E2%80%93Burma_border
1960,1960,"1960 Ethiopian coup d'état
attempt
","Emperor Haile Selassie
loyalists","Council of the Revolution
Kebur Zabagna","Opposition to
Haile Selassie",https://en.wikipedia.org/wiki/1960_Ethiopian_coup_d'%C3%A9tat_attempt,https://en.wikipedia.org/wiki/1960_Ethiopian_coup_d'%C3%A9tat_attempt
1961,1974,"Angolan War of
Independence
","MPLA
Material support:
Soviet Union[84]
Cuba[85][86]
East Germany[87]
Romania
Bulgaria[88]
Yugoslavia[89]
Tanzania[90]
Libya[91]
Brazil[92]
FNLA
UNITA (until 1972)
Material support:","Portugal
UNITA (after 1972)
South Africa
Rhodesia","Portuguese
Colonial War, the
Decolonization of Africa
and the Cold War",https://en.wikipedia.org/wiki/Angolan_War_of_Independence,https://en.wikipedia.org/wiki/Angolan_War_of_Independence
,,,"United States[93]
China[94][95][96]
Romania
Israel
Bulgaria[88]
Morocco[97][98][99]
Brazil[92]
Zambia[100][101]
FLEC
RDL",,,,
1961,1961,"Bay of Pigs Invasion
",Cuba,"United States
Cuban DRF","Cold War and
the Consolidation of the
Cuban Revolution",https://en.wikipedia.org/wiki/Bay_of_Pigs_Invasion,https://en.wikipedia.org/wiki/Cold_War
1961,1962,"French military rebellion in
Algeria[102][103]
",France,OAS,Algerian War,https://en.wikipedia.org/wiki/Algerian_War,
1961,1990,"Nicaraguan Revolution
","FSLN
EPS
MAP-ML (1978–1979)
MILPAS
Panama (1978–1979)
Nicaragua
Junta of National
Reconstruction (1979–1985)
Supported by:
Soviet Union (1980–1990)
Costa Rica (1978–1982)[104]
Libya[105][106][107]
Mexico[108]
Cuba[109]
Bulgaria
Czechoslovakia (until 1989)
East Germany (until 1989)
Hungary (until 1989)
Poland (until 1989)[110]
North Korea
PLO
Algeria[111]
France[112]
Sweden (medical
support)[113][114]
Chile (1970–1973)
Venezuela (1978–1979)
Canada (1984–1990)[115]","Somoza regime
(1961–1979)
National Guard
Contras
(1979–1990)
FDN
UDN
Fifteenth of September
Legion
ARDE
MILPAS (after 1979)
KISAN/YATAMA
RN
Supported by:
United States
Costa Rica (1982–1986)[104]
Israel[116]
Saudi Arabia
Panama (1981–1987)
Chile (1973–1990)[117]
Argentina (1976–1983)
Colombia
Imperial State of Iran (until
1979)
Islamic Republic of Iran
(Indirectly, since 1979)[118]
Brunei[119]
People's Republic of
China[110][120]
Poland[110]
Romania[120]
Portugal[120]","Central
American crisis and the
Cold War in Latin America",https://en.wikipedia.org/wiki/Nicaraguan_Revolution,https://en.wikipedia.org/wiki/Central_American_crisis
1961,1961,"Bizerte crisis
",France,Tunisia,"decolonisation
of Africa and the spillover
of the Algerian War",https://en.wikipedia.org/wiki/Bizerte_crisis,https://en.wikipedia.org/wiki/Decolonisation_of_Africa
1961,1991,"Eritrean War of
Independence
Part of Opposition to Haile
Selassie, the Ethiopian
Civil War, the Cold War,
the Sino-Soviet split, the
conflicts in the Horn of
Africa, and the Revolutions
of 1989","ELF (1961–1981)
Supported by:
Sudan[121]
Libya[122][123]
China (until
1972)[124][125]
Cuba (until 1975)[122][126]
Syria[127][128]
Iraq[129][130]
Saudi Arabia[131]
Somalia[132][133]","1961–1974
Ethiopian Empire
Supported by:
United States[139]
Israel[140][141]
1974–1991
Derg (1974–1987)
PDR Ethiopia (1987–1991)
Supported by:
Soviet Union[145] (1974–
1990)
Cuba (1974–1990)
South Yemen (1974–
1990)",,https://en.wikipedia.org/wiki/Eritrean_War_of_Independence,https://en.wikipedia.org/wiki/Eritrean_War_of_Independence
,,,"EPLF (since 1973)
TPLF (since 1975)
Supported by:
Libya[135][136]
Sudan[137]
Somalia[132]
Syria[127][128]
Iraq[137]
Kuwait[138]
United Arab Emirates[138]","Israel[140]
North Korea[146]",,,
1961,1970,"First Iraqi–Kurdish War
","KDP
Supported by:
Iran[147]
Israel
United States
(alleged)[147]","Before 1968:
Iraq
Syria (1963)
Supported by:
United States (from
1963)[148][149]
Egypt (1965)[150]
After 1968:
Ba'athist Iraq","Iraqi–Kurdish
conflict and the Arab–
Israeli conflict",https://en.wikipedia.org/wiki/First_Iraqi%E2%80%93Kurdish_War,https://en.wikipedia.org/wiki/Iraqi%E2%80%93Kurdish_conflict
1961,1961,Rebellion of the Pilots,"Elements of the Armed
Forces still loyal to Trujillo",Dominican Air Force,,https://en.wikipedia.org/wiki/Rebellion_of_the_Pilots,
1961,1961,"1961 revolt in Somalia
",Somali Republic,"Pro-Somaliland coup
plotters","conflicts in the
Horn of Africa and the
separatism in Somalia",https://en.wikipedia.org/wiki/1961_revolt_in_Somalia,https://en.wikipedia.org/wiki/Conflicts_in_the_Horn_of_Africa
1961,1961,"Annexation of Goa
",India,"Portugal
Portuguese India","decolonisation
of Asia and the Cold War",https://en.wikipedia.org/wiki/Annexation_of_Goa,https://en.wikipedia.org/wiki/Decolonisation_of_Asia
1961,1962,"Operation Trikora
","Netherlands
Dutch New Guinea","Indonesia
Soviet Union","West New
Guinea dispute and the
Cold War in Asia",https://en.wikipedia.org/wiki/Operation_Trikora,https://en.wikipedia.org/wiki/West_New_Guinea_dispute
1962,1964,"Tuareg rebellion (1962–
1964)
",Mali,"Tuareg tribal and clan
groups","Tuareg
rebellions",https://en.wikipedia.org/wiki/Tuareg_rebellion_(1962%E2%80%931964),https://en.wikipedia.org/wiki/Tuareg_rebellion_(1962%E2%80%931964)
1962,1962,El Carupanazo,Venezuelan government,Military rebels,,https://en.wikipedia.org/wiki/El_Carupanazo,
1962,1962,El Porteñazo,Venezuelan government,Military rebels,,https://en.wikipedia.org/wiki/El_Porte%C3%B1azo,
1962,1963,"1963 Argentine Navy
revolt","Azules faction
(most of the Army and the Air
Force)","Colorados faction
(mainly the Navy)",,https://en.wikipedia.org/wiki/1963_Argentine_Navy_revolt,https://en.wikipedia.org/wiki/1963_Argentine_Navy_revolt
1962,1970,North Yemen Civil War,"Yemen Arab Republic
Egypt","Kingdom of Yemen
Saudi Arabia",,https://en.wikipedia.org/wiki/North_Yemen_Civil_War,
1962,Ongoing,"Papua conflict
","Indonesia
Papua New Guinea[151][152]",Free Papua Movement,"West New
Guinea dispute and
Terrorism in Indonesia",https://en.wikipedia.org/wiki/Papua_conflict,https://en.wikipedia.org/wiki/West_New_Guinea_dispute
1962,1962,"Sino-Indian War
",China,India,"Sino-Indian
border dispute",https://en.wikipedia.org/wiki/Sino-Indian_War,https://en.wikipedia.org/wiki/Sino-Indian_border_dispute
1962,1990,"Communist insurgency in
Sarawak
","Anti-communist forces:
United Kingdom
Sarawak (until 1963)
Malaysia
Sarawak (after 1963)
Supported by:
Australia
Brunei","Communist forces:
North Kalimantan
Communist Party[153]
Sarawak People's
Guerrilla Force (SPGF)
North Kalimantan People's
Army (NKPA)","Formation of
Malaysia, Indonesia–
Malaysia confrontation,
Communist insurgency in
Malaysia (1968–1989) and
Cold War in Asia",https://en.wikipedia.org/wiki/Communist_insurgency_in_Sarawak,https://en.wikipedia.org/wiki/Communist_insurgency_in_Sarawak
,,,"New Zealand
United States
Indonesia (after 1965)
(Indo-Malay border)","Indonesia (1962–65)
(military aid)
Other support:
Brunei People's Party
North Kalimantan National
Army (NKNA)
Malayan Communist
Party
Malayan National
Liberation Army (MNLA)
Supported by:
China[154]
North Vietnam (until
1975)
North Korea[155][156]",,,
1962,1962,"Brunei revolt
","United Kingdom
Brunei",Brunei People's Party,"beginning of
Indonesia–Malaysia
confrontation and
Formation of Malaysia",https://en.wikipedia.org/wiki/Brunei_revolt,https://en.wikipedia.org/wiki/Indonesia%E2%80%93Malaysia_confrontation
1963,Ongoing,"Katanga insurgency
","Congo-Léopoldville
(until 1971)
Zaire (1971–1997)
DR Congo (from 1997)
ONUC (until 1964)
MONUSCO (since
1999)
Local self-defence
groups[157]","Katangese rebels:
Katangese Gendarmerie
(1960s)
FLNC (1967–1991)
Mai Mai Kata Katanga
(since 2011)
Mai Mai Gédéon
CORAK
CPK
Alleged Support:
FARDC elements[158]
Katangese
businessmen[158]
FDLR
Mai Mai Yakutumba
CNPSC","Congo Crisis,
First and Second Congo
Wars, and other
Congolese Civil Wars",https://en.wikipedia.org/wiki/Katanga_insurgency,https://en.wikipedia.org/wiki/Congo_Crisis
1963,1963,"1963 Cuban invasion of
Venezuela[159]",Venezuela,Cuba,,https://en.wikipedia.org/wiki/1963_Cuban_invasion_of_Venezuela?action=edit&redlink=1,https://en.wikipedia.org/wiki/1963_Cuban_invasion_of_Venezuela?action=edit&redlink=1
1963,1966,"Indonesia–Malaysia
confrontation
","The Commonwealth of Nations
United Kingdom
Malaysia[o]
Singapore[p]
Brunei
Australia
New Zealand","Indonesia
Aligned parties:
PKI[160][161]
NKCP[162][163][164][154]
PGRS[154]
PRB[165]","formation of
Malaysia and the Cold War
in Asia",https://en.wikipedia.org/wiki/Indonesia%E2%80%93Malaysia_confrontation,https://en.wikipedia.org/wiki/Indonesia%E2%80%93Malaysia_confrontation
1963,1970,"Bale revolt
","Ethiopian Empire
Supported by (since
1968):
United States
United Kingdom","Oromo and Somali rebels
Supported by (1963–
1969):
Somali Republic","Ethiopian–
Somali conflict, Opposition
to Haile Selassie and
Conflicts in the Horn of
Africa",https://en.wikipedia.org/wiki/Bale_revolt,https://en.wikipedia.org/wiki/Ethiopian%E2%80%93Somali_conflict
1963,1974,"Guinea-Bissau War of
Independence
","PAIGC
Guinea (1970 only)
Cuba",Portugal,"Portuguese
Colonial War and the Cold
War",https://en.wikipedia.org/wiki/Guinea-Bissau_War_of_Independence,https://en.wikipedia.org/wiki/Guinea-Bissau_War_of_Independence
,,,,,,,
1963,1963,"Ramadan Revolution
","Iraqi Ba'ath Party
Iraqi Armed Forces (Ba'athist
elements)
National Guard militia
Supported by:
United States[166][167]","Iraqi Government
Iraqi Armed Forces
Iraqi Communist
Party[168]","Cold War and
the Arab Cold War",https://en.wikipedia.org/wiki/Ramadan_Revolution,https://en.wikipedia.org/wiki/Cold_War
1963,1963,"1963 Syrian coup d'état
","Ba'ath Party
Military Bureau","Second Syrian
Republic
National Party
People's Party
Muslim Brotherhood
Arab Liberation Movement",Arab Cold War,https://en.wikipedia.org/wiki/1963_Syrian_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/Arab_Cold_War
1963,1976,"Dhofar Rebellion
","Oman[q]
United Kingdom
Iran (1973–1976)
Jordan
United Arab Emirates
Support:
Saudi Arabia (financial aid)","DLF (1963–1968)
PFLOAG (1968–1974)
NDFLOAG (1969–1971)
PFLO (1974–1976)
Support:
South Yemen
Soviet Union
China
Cuba
North Korea
Iraq","Cold War and
the Arab Cold War",https://en.wikipedia.org/wiki/Dhofar_Rebellion,https://en.wikipedia.org/wiki/Cold_War
1963,1963,Ar-Rashid revolt,"Iraqi Government
Ba'ath Party
Ba'ath National Guard
Militia","Iraqi Communist Party
Iraqi Army",,https://en.wikipedia.org/wiki/Ar-Rashid_revolt,
1963,1963,"Sand War
","Algeria
Support:
Egypt[169]
Cuba[170]","Morocco
Support:
France[171]","Arab Cold War
and the Cold War",https://en.wikipedia.org/wiki/Sand_War,https://en.wikipedia.org/wiki/Arab_Cold_War
1963,1967,"Aden Emergency
",NLF,"United Kingdom
Federation of South
Arabia
Protectorate of South Arabia
FLOSY
Supported by:
United Arab Republic","Cold War, the
Arab Cold War, and the
decolonization of Asia",https://en.wikipedia.org/wiki/Aden_Emergency,https://en.wikipedia.org/wiki/Cold_War
1963,1967,"Shifta War
","Kenya Colony (until
Dec. 1963)
Kenya (from Dec. 1963)
Supported by:
United Kingdom
Ethiopian Empire[172]","Northern Frontier Districts
Liberation Movement
Hawiye group
Darod group
Supported by:
Somalia
Soviet Union","Somali–Kenyan
conflict",https://en.wikipedia.org/wiki/Shifta_War,https://en.wikipedia.org/wiki/Somali%E2%80%93Kenyan_conflict
1963,1963,"November 1963 Iraqi coup
d'état
",Nasserists,Ba'athists,"Cold War and
the Arab Cold War",https://en.wikipedia.org/wiki/November_1963_Iraqi_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/November_1963_Iraqi_coup_d'%C3%A9tat
1963,1965,"Simba rebellion
","Democratic Republic of
the Congo
Belgium
United States
Anyanya
Banyamulenge militias
[173]
(1965)","Simba rebels
Gbenye-Olenga faction
Soumialot faction
Kabila-Massengo faction
Rwandan exile groups[174]
Uganda[175]
Sudan[176]
Foreign support","Congo Crisis
and the Cold War",https://en.wikipedia.org/wiki/Simba_rebellion,https://en.wikipedia.org/wiki/Congo_Crisis
,,,,"Soviet Union
Cuba
Tanganyika
China[176]
Burundi
Egypt[176]
Algeria[176]",,,
1964,1964,"Zanzibar Revolution
","Revolutionaries
Afro-Shirazi Party
Umma Party",Sultanate of Zanzibar,Cold War,https://en.wikipedia.org/wiki/Zanzibar_Revolution,https://en.wikipedia.org/wiki/Cold_War
1964,1964,"1964 Ethiopian–Somali
Border War
","Ethiopia
Supported by:
United States","Somalia
Supported by:
Egypt[177][178]","Ethiopian–
Somali conflict and the
Cold War]",https://en.wikipedia.org/wiki/1964_Ethiopian%E2%80%93Somali_Border_War,https://en.wikipedia.org/wiki/1964_Ethiopian%E2%80%93Somali_Border_War
1964,1964,"1964 Brazilian coup d'état
","Armed Forces (rebel)
Supported by:
State governors:
Alagoas
Espírito Santo
Guanabara
Minas Gerais
Paraná
Rio Grande do Sul
São Paulo
Congressional opposition
United States","Brazilian Government
Armed Forces (loyalist)
Supported by:
State governors:
Pernambuco
Sergipe
National Union of Students
Peasant Leagues",Cold War,https://en.wikipedia.org/wiki/1964_Brazilian_coup_d'%C3%A9tat,https://en.wikipedia.org/wiki/Cold_War
1964,Ongoing,"Colombian conflict
","Colombia
Supported by:
Peru
Panama[183]
Mexico
Brazil[184]
Ecuador
United States
Spain[185]
United Kingdom[186]","Colombian drug cartels
and paramilitaries
La Oficina Cartel
(1993–)
Clan del Golfo (2001–)
Los Rastrojos (2004–)[187]
Los Pachenca (2006–)[188]
Black Eagles (2006–
2011)
Ex-FARC Mafia (Since 2016
or 2017)[189][190]
AUC (1997–08)
AAA (1978–99)
CONVIVIR (1994–07)
ACCU (1964–2009)
Los Paisas (2008–14)[191]
Libertadores del Vichada
(2010–17)[192]
Bloque Meta
(2010–17)[192]
ERPAC (1964–2010)
Cali Cartel (1975–95)
Medellín Cartel (1972–93)
Norte del Valle Cartel (1985–
2008)
North Coast Cartel (1980–
2010)
MAS (1981–90)
La Empresa Cartel (1990– )
La Guajira Cartel (1990– )
Supported by:
Contras (1979–90)
Mexican drug cartels and
paramilitaries
Sinaloa Cartel (1990–)[193]","Cold War
(1964–1991), the war on
drugs (1971–present) and
the war on terror (2001–
present)[179][180][181][182]",https://en.wikipedia.org/wiki/Colombian_conflict,https://en.wikipedia.org/wiki/Cold_War
,,,,"Tijuana Cartel (1987–)
CJNG (2009–)
Gulf Cartel (1986–)
Juárez Cartel (1989–)
Los Zetas (1997–)
BLO (2008–14)
Guadalajara Cartel (1978–
89)
La Familia Michoacana
(1980s–2011)
Milenio Cartel (1995–2010)
Colombian rebel guerrilla
groups
ELN (1964–)
FARC dissidents
(2016–)[194]
EPL/Los Pelusos
(1967–)
FARIP (1987–1996)
FARC (1964–2017)
ERP (1985–2007)
CGSB (1987–90)
M-19 (1974–90)
MOEC (1964–95)
MAQL (1984–91)
ERC (1964–92)
ERG (1964–2008)
PRT (1964–91)
Supported by:
Venezuela[195]
Cuba[196][197]
Belarus[198][199] (from
2008)
Nicaragua (alleged)[200]
Libya (until
2011)[201][202]
Soviet Union
(until 1989)[197]
Albania (financial
support; 1960s–1970s)[203]
Cartel of the Suns[204]
FBL[195]
Shining Path
(factions)[205][206]
ETA (1964–2018)
PIRA (1969–98)
PKK[207]",,,
1964,1979,"Rhodesian Bush War
","ZANU (ZANLA)[208]
ZAPU (ZIPRA)
Mozambique[209]
ANC (MK)[209]
Zambia[210]","Rhodesia
(1964–1979)
Zimbabwe Rhodesia
(1979)
Portugal
(1964–1974)[r]
South Africa
(from 1967)[211]","Cold War and
decolonisation of Africa",https://en.wikipedia.org/wiki/Rhodesian_Bush_War,https://en.wikipedia.org/wiki/Cold_War
1964,1992,"FULRO insurgency
Part of the
Persecution of the
Montagnard in
Vietnam, Racism in
Vietnam, Vietnam War
(until 1975),
Cambodian Civil War
(until 1975),
Cambodian–
Vietnamese War,","Communist forces:
North Vietnam
(1964–1976)
Viet Cong
(until 1975)
Vietnam
(after 1976)
People's Republic of
Kampuchea
(1979-1989)
Khmer Rouge (1967-1975)","FULRO
BAJARAKA
FLC
FLHP
FLKK
Supported by:
China
Cambodia
Khmer Republic (1970–
1975)",,https://en.wikipedia.org/wiki/FULRO_insurgency,https://en.wikipedia.org/wiki/Persecution_of_the_Montagnard_in_Vietnam
,,"(until 1991)
insurgency in Laos,
and the Cold War
(until 1991)",,"GRUNK
Khmer Rouge (1975–
1992)
United States
(1970–1975)[212]
France
(1974–1992)
Anti-communist forces:
South Vietnam (1964–
1975)
United States
(1964–1972)[212]",,https://en.wikipedia.org/wiki/Insurgency_in_Laos,https://en.wikipedia.org/wiki/Cold_War
1964,1974,"Mozambican War of
Independence
","FRELIMO
COREMO
Support:
Soviet Union[213][214]
Cuba[215][216][217][218]
Czechoslovakia[219]
East Germany[219]
Sweden[219][220]
Romania[221][222]
Bulgaria[223][224][225]
China[226]
Yugoslavia[227][228]
Tanzania[229][230][231]
Somalia[232][233]
Zambia[234][235][236]
Egypt[237][238][239]
Algeria[240]
Morocco[98]
Libya[241][242]
Senegal[219]
Guinea[219]
Brazil[92]","Portugal
Support:
South Africa[243][244]
Rhodesia[245][246]
Malawi[247][248][249]
Israel[250]","Portuguese
Colonial War, the
Decolonisation of Africa,
and the Cold War",https://en.wikipedia.org/wiki/Mozambican_War_of_Independence,https://en.wikipedia.org/wiki/Mozambican_War_of_Independence
1964,1982,"Mexican Dirty War
","Mexico
Institutional Revolutionary
Party
DFS – Security
Directorate (Intelligence)
Armed Forces
(Military)
Judicial Police (Law
enforcement)
United States
(small arms, ammunition, and
explosives, as well as
supporting the Mexican
government and asking for
action against leftists)[251]","Far-left groups
Mexican Communist
Party
People's Guerrilla Group
Party of the Poor
National Revolutionary
Civic Association
Liga Comunista 23 de
Septiembre
National Liberation Forces
Various other social and
armed movements in the
country",Cold War,https://en.wikipedia.org/wiki/Mexican_Dirty_War,https://en.wikipedia.org/wiki/Cold_War
1965,1965,"Dominican Civil War
","Loyalist faction
United States
IAPF
Brazil
Paraguay
Nicaragua
Costa Rica
El Salvador
Honduras[252]","Constitutionalist faction
Dominican Revolutionary
Party
Social Christian
Revolutionary Party
June 14th Revolutionary
Movement",Cold War,https://en.wikipedia.org/wiki/Dominican_Civil_War,https://en.wikipedia.org/wiki/Cold_War
