Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1946,1951,Telangana Rebellion,"1946–1948:
Hyderabad
State
Durras of Hyderabad
Razakar
movement (1947–1948)
Supported by:
Britain (1946–1947)
1948–1951:
Government of India
Hyderabad State
Durras of Hyderabad
Supported by:
United States","Telangana peasants
Andhra Mahasabha
Communist Party of India
Supported by:
Congress socialists (Tirtha
Group)
Socialist Party of India
(1948–1951)",,https://en.wikipedia.org/wiki/Telangana_Rebellion,
1947,1947,"Paraguayan Civil War
(1947)
","Paraguayan
Government
Military of
Paraguay
Colorado militias
Supported by:
Argentina
United States","Liberal Party
Febrerista Revolutionary
Concentration
Paraguayan Communist
Party","Cold War (from
12 March 1947)",https://en.wikipedia.org/wiki/Paraguayan_Civil_War_(1947),https://en.wikipedia.org/wiki/Paraguayan_Civil_War_(1947)
1947,1949,"Malagasy Uprising
","France
French colonial empire
PADESM (limited
involvement)","Malagasy secret societies
Jiny
Panama
Local militias
MDRM (limited involvement)
Supported by:
United Kingdom (disputed;
French intelligence claims)","decolonisation
of Africa",https://en.wikipedia.org/wiki/Malagasy_Uprising,https://en.wikipedia.org/wiki/Decolonisation_of_Africa
1947,1947,1947 Poonch rebellion,"Azad Army
Predominantly
Sudhans in
Poonch[4][5][6]
Pahari-speaking
people in Mirpur
Division[7][8]
Supported by:
Pakistan","Jammu and Kashmir State
Forces",,https://en.wikipedia.org/wiki/1947_Poonch_rebellion,
1948,1948,Annexation of Junagadh,Dominion of India,Junagadh State,,https://en.wikipedia.org/wiki/Annexation_of_Junagadh,
1947,Ongoing,"Indo-Pakistani wars and
conflicts
","India
Bangladesh (1971)[9]","Pakistan
Alleged proxies:
Kashmiri insurgents (1989–present)
Jammu Kashmir
Liberation Front
Lashkar-e-Taiba
Jaish-e-Mohammed
United Jihad Council
Hizbul Mujahideen
People's Anti-Fascist Front
The Resistance Front
Dukhtaran-e-Millat[10]
Harkat-ul-Mujahideen","Kashmir
conflict and the Cold
War",https://en.wikipedia.org/wiki/Indo-Pakistani_wars_and_conflicts,https://en.wikipedia.org/wiki/Indo-Pakistani_wars_and_conflicts
,,,,"Harkat-ul-Jihad al-Islami
Khalistani insurgents (1984–1995)[11]
Mizo insurgents (1961–1986)[12]",,,
1947,1949,"Indo-Pakistani War of
1947–1948
","India
Jammu and
Kashmir[f]",Pakistan,"Indo-
Pakistani wars,
Kashmir conflict, and
the Partition of India",https://en.wikipedia.org/wiki/Indo-Pakistani_War_of_1947%E2%80%931948,https://en.wikipedia.org/wiki/Indo-Pakistani_War_of_1947%E2%80%931948
1947,1948,"1947–1948 civil war in
Mandatory Palestine
","Jewish National
Council
Haganah
Palmach
Irgun
Lehi
Foreign volunteers
Allied Bedouin tribes","Arab Higher Committee
Army of the Holy War
Arab Liberation Army
Jordan
Arab Legion
United Kingdom
Mandatory Palestine","intercommunal
conflict in Mandatory
Palestine, the 1948
Palestine War and the
decolonisation of Asia",https://en.wikipedia.org/wiki/1947%E2%80%931948_civil_war_in_Mandatory_Palestine,https://en.wikipedia.org/wiki/1947%E2%80%931948_civil_war_in_Mandatory_Palestine
1948[14] or 1947[15],1949,Safi Rebellion[14][15],Afghanistan,Safi rebels,,https://en.wikipedia.org/wiki/Afghan_tribal_revolts_of_1944%E2%80%931947#Aftermath,
1948,1948,Al-Wathbah uprising,Iraqi Police,"Student Cooperation
Committee (communists)
Progressive Democrats
Populists
Kurdish Democrats
Student wings of the National
Democratic Party and the
Independence Party",,https://en.wikipedia.org/wiki/Al-Wathbah_uprising,
1948,1948,"Costa Rican civil war
","National
Liberation Army
Ulatista Forces
Caribbean Legion
Supported by:
Guatemala
United States","Government of Costa
Rica
Calderon forces
People's Vanguard Party
Nicaraguan National Guard",Cold War,https://en.wikipedia.org/wiki/Costa_Rican_civil_war,https://en.wikipedia.org/wiki/Cold_War
1948,Ongoing,"Internal conflict in
Myanmar","Union of Burma
(1948–1962)
Socialist Republic of
the Union of Burma (1962–
1988)
Union of Myanmar
(1988–2011)
Myanmar (since 2011)
SAC (since 2021)","National Unity Government
(since 2021)
People's Defence Force
Ethnic armed organisations[g]",,https://en.wikipedia.org/wiki/Internal_conflict_in_Myanmar,https://en.wikipedia.org/wiki/Internal_conflict_in_Myanmar
1948,1949,"Jeju uprising
","United States
Army Military
Government in Korea
(until August 1948)
South Korea (from
August 1948)
Northwest Youth
League
Korean Youth League","Workers' Party of South
Korea
Local supporters","division of
Korea and the Cold War",https://en.wikipedia.org/wiki/Jeju_uprising,https://en.wikipedia.org/wiki/Division_of_Korea
