Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
2004,2007,Central African Bush War,"Central African Republic
Chad","Rebels:
Union of Democratic Forces for Unity
(UFDR)
People's Army for the Restoration of
Democracy (APRD)
Convention of Patriots for Justice and
Peace (CPJP)
Movement of Central African Liberators
for Justice (MLCJ)
...and others
Patriotic Convention for Saving the
Country (CPSK)
Democratic Front of the Central
African People (FDPC)
FDC
GALPC
FPR",,https://en.wikipedia.org/wiki/Central_African_Bush_War,,18784.0
2004,Ongoing,"Sistan and Baluchestan insurgency
",Iran,"Current:
Jaish ul-Adl (2013–present)
Ansar Al-Furqan (2013–present)
BLA
BLF
Former:
Jundallah (2004–2011)
Harakat Ansar (2012–2013)","larger Insurgency in
Balochistan",https://en.wikipedia.org/wiki/Sistan_and_Baluchestan_insurgency,https://en.wikipedia.org/wiki/Insurgency_in_Balochistan,70832.0
Started,Ended,Name of conflict,Belligerents,,,,,
,,,Victorious party (if applicable),Defeated party (if applicable),,,,
2005,2005,2005 Bangladesh India border clash,India,Bangladesh,,https://en.wikipedia.org/wiki/Deaths_along_the_Bangladesh%E2%80%93India_border#Cross_border_firing,,50306.0
2005,Ongoing,Insurgency in Paraguay,"Paraguay
Armed forces
Police
Joint Task Force (FTC)
Supported by:
United States
Colombia
Justicieros de la Frontera","Paraguayan People's Army (EPP)
Armed Peasant Association (ACA)[f]
Army of Marshal López (EML)
(from 2016)
Supported by:
FARC (until 2016)
Manuel Rodríguez Patriotic Front (alleged)
Primeiro Comando da Capital
Comando Vermelho",,https://en.wikipedia.org/wiki/Insurgency_in_Paraguay,,54003.0
2005,2010,Chadian Civil War (2005–2010),"Chad
France
Libya
NMRD[g]
JEM[h]
Supported by:
Ukraine
Israel
Romania","Rebels:
FUC[i]
UFDD[j]
RFD[k]
CNT[l]
CDR[m]
UFDP[n]
RDL[o]
UFDD-F[p]
SCUD[q]
CNR[r]
URF[s]
UFCD[t]
FSR[u]
UFR[v]
UMC[w]
FPRN[x]
UDC[y]
MPRD[z]
Janjaweed
Alleged support:
Sudan (until 2010)",,https://en.wikipedia.org/wiki/Chadian_Civil_War_(2005%E2%80%932010),,46206.0
2005,2008,Mount Elgon insurgency,Kenya Defence Forces,Sabaot Land Defence Force,,https://en.wikipedia.org/wiki/Mount_Elgon_insurgency,,11723.0
Started,Ended,Name of conflict,Belligerents,,,,,
,,,Victorious party (if applicable),Defeated party (if applicable),,,,
2006,Ongoing,"Fatah–Hamas conflict
","Hamas
Gaza Strip (after June
2007)
Supported by:
Iran","Fatah
Palestinian Authority
Al-Aqsa Martyrs' Brigades
(until 2007)[aa]
Supported by:
United States (alleged)
United Kingdom (covert)",Palestinian internal political violence,https://en.wikipedia.org/wiki/Fatah%E2%80%93Hamas_conflict,https://en.wikipedia.org/wiki/Palestinian_internal_political_violence,217578.0
2006,2008,"Iraqi civil war (2006–2008)
","Iraq
United States
United Kingdom
Other coalition forces
Private Security
Contractors
Peshmerga
Sons of Iraq","Mahdi Army (until 2008)
Special Groups
Asa'ib Ahl al-Haq
Kata'ib Hezbollah
Promised Day Brigades
(from 2008)
Badr Brigades
Soldiers of Heaven
Other militias
Shia tribes
Al-Qaeda:
Al-Qaeda in Iraq (until
January 2006)
Mujahideen Shura Council
(January 2006 – October 2006)
Islamic State of Iraq (from
October 2006)
Islamic Army in Iraq
Ansar al-Sunna
Naqshbandi Army
Other militias
Sunni tribes",Iraq War,https://en.wikipedia.org/wiki/Iraqi_civil_war_(2006%E2%80%932008),https://en.wikipedia.org/wiki/Iraq_War,156698.0
2006,2013,"Operation Astute
","Australia
New Zealand
Malaysia
Portugal
East Timor (government
troops)
United Nations soldiers","Renegade elements of the
FDTL",2006 East Timorese crisis,https://en.wikipedia.org/wiki/Operation_Astute,https://en.wikipedia.org/wiki/2006_East_Timorese_crisis,43568.0
2006,2018,"Bakassi conflict
",Cameroon,"Democratic Republic of Bakassi
Niger Delta militias
Pro-Nigerian militias","conflict in the Niger Delta and the piracy in
the Gulf of Guinea",https://en.wikipedia.org/wiki/Bakassi_conflict,https://en.wikipedia.org/wiki/Conflict_in_the_Niger_Delta,63757.0
2006,2006,"2006 Lebanon War
",Israel,"Hezbollah
Allies:
Amal
Popular Guard
PFLP-GC
Iran (Ynet report)
ICU (U.N. report)","Israeli–Lebanese conflict, the Iran–Israel
proxy conflict and the war on terror",https://en.wikipedia.org/wiki/2006_Lebanon_War,https://en.wikipedia.org/wiki/Israeli%E2%80%93Lebanese_conflict,497824.0
2006,2009,"Eelam War IV
","Sri Lanka
Supported by
Pakistan","Liberation Tigers of Tamil
Eelam",Sri Lankan Civil War,https://en.wikipedia.org/wiki/Eelam_War_IV,https://en.wikipedia.org/wiki/Sri_Lankan_civil_war,60287.0
2006,Ongoing,"Mexican drug war
","Mexico
Armed Forces
National Guard
(2019–present)
Federal Police
(2006–2019)
State and municipal police
forces
Consulting and training
support:
United States
Mérida Initiative
Colombia
National Police of Colombia
Australia
Australian Federal Police
Canada
RCMP ACCBP","Principal Mexican cartels:
Gulf Cartel
Los Metros
Los Rojos
Sinaloa Cartel
Los Chapitos
La Mayiza
CJNG
LNFM
Los Viagras
Northeast Cartel
Los Zetas
United Cartels
Other cartels:
LFM
CSRL
Juárez Cartel",war on drugs,https://en.wikipedia.org/wiki/Mexican_drug_war,https://en.wikipedia.org/wiki/War_on_drugs,1435003.0
,,,"Philippines
National Bureau of
Investigation
Non-state armed groups:
Popular Revolutionary Army
(EPR)
Zapatistas (EZLN)
Self-defense groups","Tijuana Cartel
La Barredora
La Unión Tepito
Dismantled cartels:
Milenio Cartel (1980–2010)
Beltrán-Leyva Cartel (1996–2017)
Independent Cartel of Acapulco
(2010–2014)
Knights Templar Cartel (2010–
2017)
Support:
Mexican Narcosystem
Organized crime in Italy
Albanian mafia
Mexican Mafia
Mara Salvatrucha",,,,
2006,2009,"War in Somalia (2006–2009)
","Invasion:
Ethiopia
TFG
United States
Supported by:
Kenya
Insurgency:
Ethiopia
TFG
Puntland
Galmudug
ASWJ
United States
AMISOM
Burundi
Kenya
Malawi
Nigeria
Uganda","Invasion:
Islamic Courts Union
Supported by:
ONLF
Eritrea
Insurgency:
Al-Shabaab
ARS
Ras Kamboni Brigades
Jabhatul Islamiya
Muaskar Anole
ICU loyalists","Ethiopian–Somali conflict and the Somali
Civil War",https://en.wikipedia.org/wiki/War_in_Somalia_(2006%E2%80%932009),https://en.wikipedia.org/wiki/Ethiopian%E2%80%93Somali_conflict,161888.0
2007,Ongoing,"Operation Juniper Shield
","Algeria
Morocco
Mauritania
Tunisia
Burkina Faso
Chad
Mali
Niger
Nigeria
Senegal
Cameroon
Togo
Ghana
Ivory Coast
Benin
Cape Verde
Gambia
Guinea
Guinea-Bissau
Liberia
Sierra Leone
Supported and trained By:
United States
Canada
France
Germany
Netherlands
Spain
United Kingdom
Denmark
Czech Republic
Sweden","Islamic militants
al-Qaeda
Jama'at Nasr al-Islam wal
Muslimin
MOJWA (until 2013)
AQIM
Al-Mourabitoun (until 2017)
Ansar al-Sharia
Macina Liberation Front
Ansar Dine (until 2017)
Boko Haram (partially aligned
with ISIL since 2015)
Ansaru
ISIL
Islamic State in the Greater
Sahara
(2015–present)
Islamic State – West Africa
Province","global war on terrorism (Islamist insurgency
in the Sahel)",https://en.wikipedia.org/wiki/Operation_Juniper_Shield,https://en.wikipedia.org/wiki/War_on_terrorism,88306.0
,,,,,,,,
2007,2009,"Tuareg rebellion (2007–2009)
","Niger
Mali","In Niger:
Niger Movement for Justice
Front of Forces for
Rectification (2008 split)
Niger Patriotic Front (2009
split)
In Mali:
ADC
ATNM (2008 split)","Tuareg rebellions and Operation Juniper
Shield",https://en.wikipedia.org/wiki/Tuareg_rebellion_(2007%E2%80%932009),https://en.wikipedia.org/wiki/Tuareg_rebellion_(disambiguation),22197.0
2007,2007,"2007 Lebanon conflict
","Lebanese Armed Forces
Internal Security Forces
Supported by:
United States","Fatah al-Islam
Jund al-Sham",war on terror,https://en.wikipedia.org/wiki/2007_Lebanon_conflict,https://en.wikipedia.org/wiki/War_on_terror,39199.0
2007,2007,"Battle of Gaza (2007)
",Hamas,"Fatah
Palestinian Authority
Supported by:
United States (alleged by
Hamas)",Fatah–Hamas conflict,https://en.wikipedia.org/wiki/Battle_of_Gaza_(2007),https://en.wikipedia.org/wiki/Fatah%E2%80%93Hamas_conflict,262219.0
2007,2015,"Insurgency in Ingushetia
","Russia
Ingushetia","Chechen Republic of
Ichkeria (until October 2007)
Caucasian Front (until
October 2007)
Caucasus Emirate (from
October 2007)
Vilayat Galgayche (from
October 2007)
Ingush opposition (2007–
2008)
ad hoc revenge groups","Second Chechen War and North Caucasus
Insurgency",https://en.wikipedia.org/wiki/Insurgency_in_Ingushetia,https://en.wikipedia.org/wiki/Second_Chechen_War,20357.0
2008,2008,2008 invasion of Anjouan,"African Union
Comoros
Senegal
Sudan
Tanzania
Supported by:
France (logistical support)
Libyan Arab Jamahiriya
(logistical support)",Anjouan,,https://en.wikipedia.org/wiki/2008_invasion_of_Anjouan,,53915.0
