Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
2011,2011,"Libyan civil war (2011)
","Anti-Gaddafi forces
Qatar
NATO
Belgium
Bulgaria
Canada
Denmark
France
Greece
Italy
Netherlands
Norway[89]
Poland (only
humanitarian and medical
aid)[90]
Romania
Spain
Turkey
United Kingdom
United States
Other countries
Jordan[91]
Qatar
Sweden
United Arab Emirates[92]
Minor border clashes:
Tunisia
Tunisian Army
Tunisian Police",Libya,Arab Spring and the Libyan Crisis since 2011,https://en.wikipedia.org/wiki/Libyan_civil_war_(2011),https://en.wikipedia.org/wiki/Arab_Spring,379374.0
,,,"Supported by:
Egypt[93][94]",,,,,
2011,2024,Syrian civil war,"Ba'athist Syria
Hezbollah
Iran
Russia (2015–present)
Support
Iraq (2017–19)","Syria
(Syrian o
Turke
Support:
Qatar
United
Saudi A
United
France
Governm
Support:
Al-Qae
Qatar (
Saudi A
Turkey
Islam
Support
Al-Qa
Roja
Forces) (
Support:
United
Russia
France
PKK
PUK (2
KDP (2
CJTF
Participan
United
France
United
Jordan
Germa
Nether
United
Saudi A
Austra
Belgium
Bahrai
Denma
Morocc
Qatar (
Canad",,https://en.wikipedia.org/wiki/Syrian_civil_war,,3749348.0
2011,2020,"Sudanese conflict in South Kordofan and Blue Nile
",Sudan,"SRF
JEM
SP
SL
Alleged s
Ethio",Sudanese Civil Wars,https://en.wikipedia.org/wiki/Sudanese_conflict_in_South_Kordofan_and_Blue_Nile,https://en.wikipedia.org/wiki/Sudanese_Civil_War_(disambiguation),60047.0
2011,2017,"Syrian civil war spillover in Lebanon
","Lebanon
Lebanese Armed Forces
Internal Security Forces
Support:
Australia[97]
Canada[98]
China[99]","Syrian re
Fre
Sara
Isla
Fut","Arab Winter, the Spillover of the Syrian Civil War and
the Iran–Saudi Arabia proxy conflict",https://en.wikipedia.org/wiki/Syrian_civil_war_spillover_in_Lebanon,https://en.wikipedia.org/wiki/Arab_Winter,61483.0
,,,"Cyprus[100]
Czech Republic[101]
Egypt[102]
France[103]
Germany[104]
Iran[105]
Italy[106]
Jordan[107]
Netherlands[108]
Russia[109]
Saudi Arabia[103]
South Korea[110]
Spain[111]
Turkey[112]
United Kingdom[113][114]
United States[103]
Pro-Assad militant
groups:
Hezbollah
Lebanese Resistance
Brigades[115]
PFLP-GC[116]
Amal Movement[117]
Syrian Social Nationalist
Party[118]
DFLP[119]
Popular Nasserist
Organization[120]
As-Sa'iqa[121]
Fatah al-Intifada[122]
Arab Democratic Party
(until 2014)[123]
Armenian Revolutionary
Federation[124]
Arab Movement Party[125]
Support:
Ba'athist Syria[126]
Iran[127]
Russia[128]
Other militias:
Lebanese Communist
Party[129]
Fatah[130][131]","Support:
Saudi A
Al-Qa
Al-
Fat
Gh
Jun
Ha
Ab
Brigade
Os
Su
Commit
Mu
Islam
(from 201
Mili
Fre
Brigade",,,,
2011,Ongoing,"Ethnic violence in South Sudan
",Various tribes,Various trib,Sudanese nomadic conflicts,https://en.wikipedia.org/wiki/Ethnic_violence_in_South_Sudan,https://en.wikipedia.org/wiki/Sudanese_nomadic_conflicts,80623.0
2011,2012,"Operation Linda Nchi
","Kenya
TFG
Raskamboni Front[147]
ASWJ[148]
Azania",Al-Sha,"Somali Civil War (2009–present) and the Somali–
Kenyan conflict",https://en.wikipedia.org/wiki/Operation_Linda_Nchi,https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present),44986.0
2011,2014,"Factional violence in Libya (2011–2014)
","Libyan National Army
Special Forces (Saiqa
brigade)
Libyan Air Force[149]
Libyan Navy[150]
Government-sanctioned
local militias
Supreme Security Committee","Various m
Ga
Brig
Tou
of Libya
Ge
Zint
Pro
Arm
Mas
Kati
Al-A
S
Benghaz
Revolutio","Libyan Crisis (2011–present) (aftermath of the First
Libyan Civil War)",https://en.wikipedia.org/wiki/Factional_violence_in_Libya_(2011%E2%80%932014),https://en.wikipedia.org/wiki/Libyan_Crisis_(2011%E2%80%93present),31184.0
,,,,"Ansar A
Libya S",,,,
2011,2013,"Iraqi insurgency (2011–2013)
","Iraqi Government
Security forces
Private security contractors
Iraqi Kurdistan
Peshmerga
Asayish
CTG Kurdistan
Parastin u Zanyari
Sons of Iraq
Supported by:
United States","Islam
since Ap
Islam
Naqs
Other Su",Iraqi conflict (2003–present),https://en.wikipedia.org/wiki/Iraqi_insurgency_(2011%E2%80%932013),https://en.wikipedia.org/wiki/Iraqi_conflict_(2003%E2%80%93present),87356.0
2012[ad],Ongoing,"War in the Sahel
","Alliance of Sahel States
Mali
Niger
Burkina Faso
Benin
Togo[ae]
Ivory Coast[af]
Algeria[ag]
Mauritania[ah]
Nigeria[160]
Supported by:
Africa Corps (since
2021)[161][ai]
Turkey (since 2022)
France (2013–
2023)[163]
United States (until
2024)[164]
MINUSMA (2013–
2023)[aj]
AFISMA (2012–2013)
G5 Sahel (until 2023)","Al-Qae
Jam
Muslim
Nig
Ansaru
Boko H
Islamic
Isla
pres
Kat
201
Isla
Provinc
Azaw
Nigerien
Patriotic
Free Ar
Former be
CSP-PSD (
Co
Movem
[174] (20
MN
HC
MA
GATI
(2023–20
Patriotic Lib
2024)[176]","war on terror, spillover of the Insurgency in the
Maghreb (2002–present) and the War against the Islamic State",https://en.wikipedia.org/wiki/War_in_the_Sahel,https://en.wikipedia.org/wiki/War_on_terror,235245.0
2012,Ongoing,"Mali War
","Mali
Russia (2021–)
Africa Corps[177]
France (2013–22)
Supported by:
ECOWAS
Benin[178]
Burkina Faso (until
2025)[179]
Cape Verde[180]
Gambia[180]
Ghana[181]
Guinea[182]
Guinea-Bissau[180]
Ivory Coast[182]
Liberia[183]
Niger (until 2025)[184]
Nigeria[185]
Sierra Leone[186]
Senegal[185]
Togo[178]
Burkina Faso (2025–)
Niger (2025–)","CSP-PSD (
Co
Movem
[174] (20
GA
(2023–2
Azawa
Supporte
Ukrai
Al-Qae
AQ
An
Al-
Ja
Muslim
Boko H
MOJW
Ansar
M
(2012–1
Islamic
Sah","Islamist insurgency in the Sahel and the war on
terror",https://en.wikipedia.org/wiki/Mali_War,https://en.wikipedia.org/wiki/Islamist_insurgency_in_the_Sahel,785056.0
,,,"MINUSMA (2013–23)[al]
Supported by:
EUTM Mali (2013–23)
Others
Angola[189]
Australia[190]
Bangladesh[191]
Belgium[192]
Canada[193][194]
Comoros[195]
Czech Republic[196]
Denmark[197][198]
European Union[199][200]
Germany[201][202]
Hungary[203][204]
India[205]
Iran[206]
Ireland[207]
Italy[208]
Japan[209]
Mauritania
Namibia[210]
Netherlands[211]
North Korea[212]
Romania[213]
Spain[214][215]
Turkey
United Arab Emirates[216]
United Kingdom[217]
United States[218]
Non-state combatants:
Platform
Popular Movement for
the Salvation of Azawad
Ganda Iso
MAA-Loyaliste[219][220]
MSA (2016–)
GATIA (Ag Gamou
faction) (2014–23)[221]
Wagner Group (2021–
25)[am][222][223][224]
CSP-DPA (2021–23)
Coordination of Azawad
Movements
Platform",,,,,
2012,2012,Heglig Crisis,Sudan,"South
JEM[232
SPLM-",,https://en.wikipedia.org/wiki/Heglig_Crisis,,38460.0
2012,2013,"M23 rebellion
","Democratic Republic of the
Congo
MONUSCO
Force Intervention
Brigade
South Africa
Tanzania
Malawi[233]","March
Alleged su
Ugand
Rwand",Kivu conflict,https://en.wikipedia.org/wiki/M23_rebellion_(2012%E2%80%932013),https://en.wikipedia.org/wiki/Kivu_conflict,86185.0
2012,2012,"2012 Abyan offensive
","Yemen
Supported by:
United States
Saudi Arabia[235]","Al-Qae
Ansar",Yemeni Crisis (2011-present),https://en.wikipedia.org/wiki/2012_Abyan_offensive,https://en.wikipedia.org/wiki/Yemeni_Crisis_(2011-present),7048.0
2012,2012,Baragoi clashes,Samburu tribe,Turkana tri,,https://en.wikipedia.org/wiki/Baragoi_clashes,,8242.0
2012,Ongoing,Central African Republic Civil War,"Central African Republic
Central African Armed
Forces
MINUSCA (since 2014)
Rwanda (since 2020)[236]","Coalit
(since 202
Ant
3R",,https://en.wikipedia.org/wiki/Central_African_Republic_Civil_War,,372851.0
,,,"Russia (since 2018)[236]
Wagner Group[237]
Russian Imperial
Movement[238]
Black Russians[239]
Azande Ani Kpi Gbe[240]
Formerly:
South Africa (2013)
MISCA (2013–2014)
MICOPAX (2008–2013)
Angola
Cameroon
Chad
Morocco[241]
Uganda
Congo-Brazzaville
DRC
Gabon
Burundi
Equatorial Guinea
São Tomé and Príncipe
France (2013–2021)[242]
EUFOR RCA
(2014–2015)
Estonia
Finland
Georgia
Latvia
Luxembourg
Netherlands
Portugal
Poland
Romania
Spain
Italy","UP
FP
MP
PRNC
CMSP
Support:
Ch
RS
Defunct gr
Séléka
CPJP
CPSK
UFDR
FDPC
FPR
RJ (20
MNLC
MLCJ
RPRC",,,,
2013,2013,"Lahad Datu standoff
","Malaysia
Sabahan local
villagers[246][247][248]
Supported by:
Philippines[note 3][249]","Sulta
Kiram III's
Filipino il
combativ
Supporte
Mor
Front (Mi","North Borneo dispute and cross border attacks in
Sabah",https://en.wikipedia.org/wiki/2013_Lahad_Datu_standoff,https://en.wikipedia.org/wiki/North_Borneo_dispute,170003.0
2013,2018,"Batwa–Luba clashes
","Pygmy batwa militias
""Perci""[251]","Luba militia
""Eleme",Katanga insurgency,https://en.wikipedia.org/wiki/Batwa%E2%80%93Luba_clashes,https://en.wikipedia.org/wiki/Katanga_insurgency,11164.0
2013,2021,RENAMO insurgency (2013–2021),Mozambique,"RENA
RENAMO M",,https://en.wikipedia.org/wiki/RENAMO_insurgency_(2013%E2%80%932021),,20755.0
2013,2013,"Zamboanga City crisis
",Philippines,Bang,Moro conflict,https://en.wikipedia.org/wiki/Zamboanga_City_crisis,https://en.wikipedia.org/wiki/Moro_conflict,74139.0
2013,2020,"South Sudanese Civil War
","South Sudan
SPLA
Air Force
Mathiang Anyoor
Maban Defence Force[253]
Allied militias:
SSLM
SRF
JEM[ao]
SPLM-N[258][256] (alleged)
SLA-AW[259]
SLA-MM[259]
EUPF[260] (alleged)
State allies:
Uganda
Egypt[261] (alleged)","UNM
Re
SPLM
Nuer
SSDM
Co
Greater
2015)[26
Agw
TFNF[272
SSFDP[2
South
Army[274]
NAS
Arrow Bo
Wau",Ethnic violence in South Sudan[252],https://en.wikipedia.org/wiki/South_Sudanese_Civil_War,https://en.wikipedia.org/wiki/Ethnic_violence_in_South_Sudan,429609.0
,,,,"SSOA
SSO
2020)
Supporte
Suda
claim)[277]",,,,
2013,2017,"War in Iraq (2013–2017)
","Central government of
Iraq[278]
Iraqi Armed Forces
Iraqi Ground Forces
Iraqi Air Force
CTS-ISOF
Popular Mobilization
Forces
Assyrian Forces (Iraqi
command)
Federal Police
Kurdistan Region[278]
Peshmerga
Zeravani
Kurdistan Region Security
Council
CTG Kurdistan
Parastin u Zanyari
Assyrian Forces (Kurdish
command)
Allied groups:
Sinjar Alliance
PKK[279]
Rojava[279]
Kurdish National
Council[280]
Iraqi Turkmen Front
Iraqi Communist Party
Various self-defense
groups
Others:
Iran
Hezbollah
Syria[281]
CJTF–OIR
United States
United Kingdom
Canada[282][283]
Australia[284]
France
Italy
Netherlands
New Zealand[285]
Finland[286]
Denmark[287]","Islamic
Sunni Insu
2015)
Na
2015)
An
2015)
GM
Ar
Fr
Isl
2014)
1920 R
2015)[2","Iraqi conflict, spillover of the Syrian civil war, War
against the Islamic State, and the war on terror",https://en.wikipedia.org/wiki/War_in_Iraq_(2013%E2%80%932017),https://en.wikipedia.org/wiki/Iraqi_conflict,358520.0
2014,Ongoing,"Russo-Ukrainian War (outline)
","Russia
Donetsk PR[aq]
Luhansk PR[aq]
North Korea[290]
Belarus[ar]
Supplied by:
For details, see Russian
military suppliers","Ukrai
Supplied
For coun
Ukraine s
aid to Uk",conflicts in territory of the former Soviet Union,https://en.wikipedia.org/wiki/Outline_of_the_Russo-Ukrainian_War,https://en.wikipedia.org/wiki/Russo-Ukrainian_War,216780.0
2014,2014,2014 Aswan tribal clashes,Arabic Al-Halayel clan,Nubian Al-D,,https://en.wikipedia.org/wiki/2014_Aswan_tribal_clashes,,4305.0
2014,2020,"Libyan civil war (2014–2020)
","House of
Representatives (Tobruk-
based)[295][296]
Libyan National
Army[297][298]
Libyan Air Force
(LNA–aligned)
Libyan Navy
(LNA–aligned)","Go
Accord
2016)
Lib
Lib
(GNA–a
Lib
(GNA–a
Others:","Arab Winter, the Libyan Crisis, the Iran–Saudi Arabia
proxy conflict, the war on terror, and the Qatar–Saudi Arabia
diplomatic conflict",https://en.wikipedia.org/wiki/Libyan_civil_war_(2014%E2%80%932020),https://en.wikipedia.org/wiki/Arab_Winter,397942.0
,,,"Others:
Zintan brigades[299]
JEM[300] (from 2016)
SLM/A-Minnawi[301][302]
Gaddafi loyalists[303]
Popular Front for the
Liberation of Libya
Warshefana militias
[299][304][305]
Wagner Group
(from 2018)
[306][307][308][309][310]
Egypt[311][312][313]
United Arab
Emirates[311][314][315][316]
RSF[317] (from 2019)
Ba'athist Syria
(2020)[318][319][320]
Hezbollah
(allegedly)[321][322]
Israel
(allegedly, denied by
LNA)[323][324][325][326][327]
Iran[328]
Support:
Russia[329][330]
France[331][332][333][334]
Saudi Arabia[335]
Chad[336]
Jordan[337][338][305]
Belarus[339][340]
Greece[341][342]
Cyprus[343]
United States[344][345]
United Kingdom[346]","Presidentia
Misrata Bri
Sabratha R
Petroleum
Tripoli Prot
Misratan Th
Tuareg mili
Toubou
Libya[353]
Chadian re
CCMSR,[35
Turke
Syria
2019)[359
P
Committe
Ham
by Hama
Support:
Qatar[3
Sudan
Pakista
Iran[36
Moroc
Malta[3
Italy[37
Europe
Greece, Cy
United
United
Ukrain
Algeria
United
N
Governm
(2014–20
Libya D
LRO
Liby
Support:
Sudan
Turkey
Qatar
Iran[38
Ukrain
Islam
(from 201
Wilayat
Wilayat
Wilayat
Support:
AQIM (
in 2016[392
al-Qae
(2014–201
Shura
Benghazi R
(2014–201
SCBR
militia:
Ansar
(2014–201
Libya Shiel
(2014–16)
Rafallah al-
Others:",,,,
,,,,"Bengh
Brigades[39
Ajdabiy
Council (20
Derna",,,,
2014,Ongoing,"War against the Islamic State
","In multiple regions:
CJTF–OIR
IMCTC
In Iraq
Iraq
Iraqi Kurdistan
United States
Iran[400]
In Syria
Ba'athist Syria (2011–2024)
Russia
Iran
Syrian transitional
government (since 2024)
Turkey[401]
Syrian Salvation
Government (2017–2024)
Syrian Interim Government
(2013–2025)
Autonomous Administration
of North and East Syria (2015–
present)
United States
In the Levant
Egypt (See: Sinai insurgency)
Israel[402]
Hamas
In Libya
Libya
Government of National
Accord
House of Representatives
Egypt
France
United States
In Afghanistan
Islamic Republic of
Afghanistan
Islamic Emirate of
Afghanistan (Taliban, conflict
since 2015)[403][404]
In West Africa
Multinational Joint Task
Force","Islamic
Wil
(in Liby
Wil
(in the S
ISW
(West A
IS-
(Sahel)
IS-
(Centra
Ans
(in Moz
Wil
(in Afgh
Wil
(in the N
Abu
(in Sout
Wil
(in Som","war on terror, the Second Libyan Civil War, the War
in Iraq (2013–2017), the Syrian civil war and its spillover, the
Sinai insurgency, the Boko Haram insurgency, the insurgency in
the North Caucasus, the Moro conflict, the insurgency in Cabo
Delgado, the Islamic State insurgency in Puntland the Sahel
War and the Salafi-jihadist insurgency in the Gaza Strip",https://en.wikipedia.org/wiki/War_against_the_Islamic_State,https://en.wikipedia.org/wiki/War_on_terror,499572.0
2014,2014,"2014 Gaza War
",Israel,"Gaza S
Ha
Pa
Po
Liberati
De
Liberati
Po
Commit
Ab
Jaysh
Al-A",Gaza–Israel conflict,https://en.wikipedia.org/wiki/2014_Gaza_War,https://en.wikipedia.org/wiki/Gaza%E2%80%93Israel_conflict,362307.0
2014,Ongoing,"Yemeni civil war (2014–present)
","Supreme Political Council
(formerly SRC)
Houthis
GPC (pro-Houthi)
Saleh loyalists (until 2017)
Pro-Houthi Popular
Committees[410]
Sanaa-GPC forces[411]","Repub
(internation
PLC since
Ye
Re
GP
STC (2
present
Nation
present","Yemeni crisis, the Arab Winter, the war on terror, and
the Iran–Saudi Arabia proxy conflict",https://en.wikipedia.org/wiki/Yemeni_civil_war_(2014%E2%80%93present),https://en.wikipedia.org/wiki/Yemeni_crisis,1565185.0
,,,,"Gia
Ha
Alliance
Al-I
Ba
Saleh l
present
Popula
Popula
Saudi-
Saudi A
United
Sudan
Seneg
Moroc
Qatar
Kuwait
Bahrai
Acade
16)[436] Jan
STC (201
Emirates[
Al-Qae
AQ
Counc
Sunna w
Hadhra
council[
Dhi Na
Al-Ham
Islamic
Ye",,,,
2014,2015,"Houthi takeover in Yemen
","Houthis
Saleh Security forces
Republican Guard","Cabine
Secu
Al-Is
Unite
Saud",Yemeni civil war (2014–present),https://en.wikipedia.org/wiki/Houthi_takeover_in_Yemen,https://en.wikipedia.org/wiki/Yemeni_civil_war_(2014%E2%80%93present),117687.0
2015,Ongoing,"Islamic State–Taliban conflict
","Afghanistan
Taliban
Haqqani network[449]
Al-Qaeda[450]
Islamic Movement of
Uzbekistan (pro-Taliban & anti-IS
factions)[451]
Turkistan Islamic Party
Pakistani Taliban","Islamic
Khoras
IS cent
Mullah
Fidai M
Islamic
(pro-IS factio","Afghan conflict, war on terror, and al-Qaeda–Islamic
State conflict",https://en.wikipedia.org/wiki/Islamic_State%E2%80%93Taliban_conflict,https://en.wikipedia.org/wiki/Afghan_conflict,207869.0
2015,2022,"Islamic State insurgency in Tunisia
","Tunisia
Tunisian National Guard
Tunisian Army
Tunisian Police","Islamic
Islamic
Islamic
Provinc
Islamic
Uqba ib
Ansar a
(only in","spillover of the Second Libyan Civil War,
the Arab Winter, war on terror and War against the Islamic State",https://en.wikipedia.org/wiki/Islamic_State_insurgency_in_Tunisia,https://en.wikipedia.org/wiki/Libyan_civil_war_(2014%E2%80%932020),30929.0
2015,2025,"Kurdish–Turkish conflict (2015–2025)
",Turkey,"Kurdis
(KCK)
PK
SD
PF
HBDH
Kurdis","Kurdistan Workers' Party insurgency, Kurdish–
Turkish conflict and the Spillover of the Syrian civil war",https://en.wikipedia.org/wiki/Kurdish%E2%80%93Turkish_conflict,https://en.wikipedia.org/wiki/Kurdistan_Workers'_Party_insurgency,227098.0
2016,Ongoing,"2016 Niger Delta conflict
","Nigeria
Niger Delta Revolutionary
Crusaders (since 2019)[457]
Nigerian Armed Forces","Niger Delta
Militant or
Adaka Boro
Asawana D",conflict in the Niger Delta,https://en.wikipedia.org/wiki/2016_Niger_Delta_conflict,https://en.wikipedia.org/wiki/Conflict_in_the_Niger_Delta,18928.0
,,,"Involved states
Abia State
Akwa Ibom State
Bayelsa State
Cross River State
Delta State
Edo State
Imo State
Ondo State
Rivers State","Niger Delta
Niger Delta
Mandate
Niger Delta
Niger Delta
Niger Delta
Niger Delta
(until 2019)
Reformed E
Egbesu Bo
Egbesu Re
Egbesu Mig
Ind
Biafra[459",,,,
2016,2016,"2016 Nagorno-Karabakh conflict
","Artsakh
Armenia",Azerb,Nagorno-Karabakh conflict,https://en.wikipedia.org/wiki/2016_Nagorno-Karabakh_conflict,https://en.wikipedia.org/wiki/Nagorno-Karabakh_conflict,55419.0
2016,2017,Pool War,Republic of the Congo,Ninja mili,,https://en.wikipedia.org/wiki/Pool_War,,24593.0
2016,Ongoing,"Philippine drug war
","Philippine
government
Philippine National Police
Inter-Agency Committee
on Anti-Illegal Drugs
Philippine Drug
Enforcement Agency
National Bureau of
Investigation
Armed Forces of the
Philippines
Bureau of Customs
Department of Justice
Anti-Money Laundering
Council
Philippine Coast Guard
Non-state participants,
armed organizations:
CPP-NPA[460]
(until August 2016[note 4])
MILF[462]
Vigilantes[463]
Davao Death Squad
Hired hitmen
Foreign support:[note 5]
China
(intelligence and financial
support)[464][465]
Singapore
(intelligence support)[466]
United States
(financial support)[467][464]","Philippin
gangs:
Kuraton
Waray-W
Bahala
Sigue S
Foreign d
Sin
Chinese
Colomb
(alleged
Jihadist
groups:
Abu
Ninja c
engaged
Suspecte","Civil conflict in the Philippines, Cross border attacks
in Sabah, spillovers of the Colombian Conflict and Mexican
drug war and of the Insurgency in south Thailand and War
against Islamic State",https://en.wikipedia.org/wiki/Philippine_drug_war,https://en.wikipedia.org/wiki/Civil_conflict_in_the_Philippines,451505.0
2016,2019,Kamwina Nsapu rebellion,"DR Congo
Allied militias:
Bana Mura[476]
Ecurie Mbembe[477]
Smaller pro-government
groups","Kamw
Various",,https://en.wikipedia.org/wiki/Kamwina_Nsapu_rebellion,,32014.0
2016,Ongoing,"Conflict in Rakhine State
","Myanmar
Allied groups:
Arakan Liberation Army","Arakan
Support:
Asho Chin
People
(Magway)
Araka
Army
Rohing",Myanmar civil war and Rohingya conflict,https://en.wikipedia.org/wiki/Conflict_in_Rakhine_State_(2016%E2%80%93present),https://en.wikipedia.org/wiki/Myanmar_conflict,63471.0
,,,,"Rohingya I
Arakan R",,,,
2016,2016,Kasese clashes,Uganda,Rwenz,,https://en.wikipedia.org/wiki/Kasese_clashes,,13054.0
2016,Ongoing,Insurgency in Chad (2016–present),"Chad
France (until 2025)
Central African
Republic (2023)
JEM","FACT
CCMSR
UFR
FNDJT
MDJT[480
UFDD
FPRN[481
FPR
MRST[482
RPJET
(At leas
overall)",,https://en.wikipedia.org/wiki/Insurgency_in_Chad_(2016%E2%80%93present),,46502.0
2017,2017,"2017 Afghanistan–Pakistan border skirmish
",Pakistan,Afghan,Afghanistan–Pakistan skirmishes,https://en.wikipedia.org/wiki/2017_Afghanistan%E2%80%93Pakistan_border_skirmish,https://en.wikipedia.org/wiki/Afghanistan%E2%80%93Pakistan_skirmishes,8639.0
2017,2020,"2017–2020 Qatif unrest
",Saudi Arabia,"Hezbollah A
Other Shia
Supported
Saraya al-M
Bahrai",Qatif conflict,https://en.wikipedia.org/wiki/2017%E2%80%932020_Qatif_unrest,https://en.wikipedia.org/wiki/Qatif_conflict,20201.0
2017,2017,"Siege of Marawi
",Philippines,Islamic,Moro conflict and the war against the Islamic State,https://en.wikipedia.org/wiki/Siege_of_Marawi,https://en.wikipedia.org/wiki/Moro_conflict,439062.0
2017,Ongoing,"Anglophone Crisis
",Cameroon,Ambaz,Anglophone problem,https://en.wikipedia.org/wiki/Anglophone_Crisis,https://en.wikipedia.org/wiki/Anglophone_problem,350799.0
2017,Ongoing,"Insurgency in Cabo Delgado
","Mozambique
Rwanda
(from 2021)[484]
Southern African
Development Community
(from 2021)
South Africa
Botswana
Lesotho
Tanzania
Angola
Zambia
Malawi
DRC
Namibia
Private Military Companies
Dyck Advisory Group
Control Risks
Paramount Group
Frontier Services Group
Wagner Group","Ansa
Islami
Bandits[4","war against the Islamic State, Islamic terrorism in
Africa and the war on terror",https://en.wikipedia.org/wiki/Insurgency_in_Cabo_Delgado,https://en.wikipedia.org/wiki/War_against_the_Islamic_State,209116.0
2017,2017,"2017 Iraqi–Kurdish conflict
","Iraq
Supported by:
Iran[486]","Kurdis
PKK[48
PDKI[4
White",Iraqi–Kurdish conflict,https://en.wikipedia.org/wiki/2017_Iraqi%E2%80%93Kurdish_conflict,https://en.wikipedia.org/wiki/Iraqi%E2%80%93Kurdish_conflict,81056.0
2017,Ongoing,"Islamic State insurgency in Iraq (2017–present)
","Iraq
Iraqi Federal Police
Iraqi Armed Forces
Special Operations
Forces (SOF)
Popular Mobilization
Forces (PMF)
Pro-Government Tribes
(ar)[490]
Islamic Resistance in Iraq
Supported by:
Iran","Islami
White",Iraqi conflict and war against the Islamic State,https://en.wikipedia.org/wiki/Islamic_State_insurgency_in_Iraq_(2017%E2%80%93present),https://en.wikipedia.org/wiki/Iraqi_conflict,155441.0
,,,"Rojava (cross-border
cooperation since May
2018)[491]
Supported by:
CJTF-OIR
United States
United Kingdom
France
Kurdistan Region
Peshmerga
Supported by:
Netherlands[492]",,,,,
2018,Ongoing,"War on drugs in Ecuador
","Government of
Ecuador
National Police of Ecuador
Armed Forces of Ecuador
Ecuadorian Army
Ecuadorian Navy
Ecuadorian Air Force
Armed civilians
Counter-terrorist PMCs
Supported by:
United States
CIA
Canada
Colombia
Mexico (until 2024)
Peru","Organize
Sinaloa
Los Ch
CJNG
Los Lob
Chone
Los Tig
Los Lag
Latin Ki
NETA A
PCE-SR
FARC–
FARC d
ELN
La Emp
Other gro",war on drugs,https://en.wikipedia.org/wiki/War_on_drugs_in_Ecuador,https://en.wikipedia.org/wiki/War_on_drugs,39434.0
2018,Ongoing,"Catatumbo campaign
","Colombia
2nd Division","Pop
(EPL)
Nati
(ELN)
Nororie
Los Rast
FARC dis","Colombian conflict (1964–present), the war on drugs
(1993–present), and the Crisis in Venezuela (2010–present)",https://en.wikipedia.org/wiki/Catatumbo_campaign,https://en.wikipedia.org/wiki/Colombian_conflict,93350.0
2018,2018,"2018 Armenian–Azerbaijani clashes
",Azerbaijan,Arme,Nagorno-Karabakh conflict,https://en.wikipedia.org/wiki/2018_Armenian%E2%80%93Azerbaijani_clashes,https://en.wikipedia.org/wiki/Nagorno-Karabakh_conflict,10492.0
2018,Ongoing,"OLA insurgency
","Ethiopia
Oromia",OLA,"Oromo conflict and Ethiopian civil conflict (2018–
present)",https://en.wikipedia.org/wiki/OLA_insurgency,https://en.wikipedia.org/wiki/Oromo_conflict,44337.0
2018,2018,"November 2018 Gaza–Israel clashes
",Israel,"Gaza
Ha
Islamic
PFLP
al-Aqsa
PRC",Gaza–Israel conflict,https://en.wikipedia.org/wiki/November_2018_Gaza%E2%80%93Israel_clashes,https://en.wikipedia.org/wiki/Gaza%E2%80%93Israel_conflict,21512.0
2019,2019,"2019 India–Pakistan border skirmishes
","India
Indian Army
Indian Air Force
Indian Navy
CRPF","Jaish-
Pakis
Pa
Pa
Pa",Indo−Pakistani conflicts and the Kashmir conflict,https://en.wikipedia.org/wiki/2019_India%E2%80%93Pakistan_border_skirmishes,https://en.wikipedia.org/wiki/Indo-Pakistani_wars_and_conflicts,234344.0
,,,,,,,,
2019,2019,"May 2019 Gaza–Israel clashes
",Israel,"Gaza
Ha
Pa
Nat",Gaza–Israel conflict,https://en.wikipedia.org/wiki/May_2019_Gaza%E2%80%93Israel_clashes,https://en.wikipedia.org/wiki/Gaza%E2%80%93Israel_conflict,13638.0
2019,2022,"Benishangul-Gumuz conflict
","Ethiopia
ENDF
Benishangul-Gumuz
Region
Amhara Region
Fano militias[493]","Gumu
Movemen
Be
Liberation
Orom
Tigra
Front (alle
Support:
Suda
only)[496]
E
Ethiopia)",Ethiopian civil conflict (2018–present),https://en.wikipedia.org/wiki/Benishangul-Gumuz_conflict,https://en.wikipedia.org/wiki/Ethiopian_civil_conflict_(2018%E2%80%93present),19691.0
2019,2019,"November 2019 Gaza–Israel clashes
",Israel,Pales,Gaza–Israel conflict,https://en.wikipedia.org/wiki/November_2019_Gaza%E2%80%93Israel_clashes,https://en.wikipedia.org/wiki/Gaza%E2%80%93Israel_conflict,13700.0
