,Started,Ended,Name of conflict,Belligerents,Unnamed: 4,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026),Continent
15,2021.0,2021,"2021 Israel–
Palestine crisis
","Israel
Israel Defense
Forces
Israeli Air Force
Israel Police
Israel Border
Police
Shin Bet[27]
Jewish Israeli protesters","Gaza Strip
Hamas
Palestinian Islamic
Jihad
Popular Front for
the Liberation of
Palestine
Al-Aqsa Martyrs'
Brigades[28]
Smaller militant groups[e]
Protesters in Israel and
Palestine
Arab Israeli protesters
Palestinian protesters in
the West Bank and
Jerusalem
Jordanian, Lebanese, and
Syrian protesters (see
international)","Israeli–
Palestinian conflict",https://en.wikipedia.org/wiki/2021_Israel%E2%80%93Palestine_crisis,https://en.wikipedia.org/wiki/2021_Israel%E2%80%93Palestine_crisis,340253.0,Asia
16,2021.0,Ongoing,"Armenia–Azerbaijan
border crisis
Part of the
Nagorno-Karabakh
conflict",Armenia,Azerbaijan,,https://en.wikipedia.org/wiki/Armenia%E2%80%93Azerbaijan_border_crisis_(2021%E2%80%93present),https://en.wikipedia.org/wiki/Armenia%E2%80%93Azerbaijan_border_crisis_(2021%E2%80%93present),104447.0,Asia
17,2021.0,Ongoing,"Republican
insurgency in
Afghanistan
","Islamic Emirate of
Afghanistan
Taliban
al-Qaeda (alleged)[30]
Supported by:
Pakistan (until 2024;
unconfirmed)","Islamic Republic of
Afghanistan loyalists[note 1]
National Resistance
Front (NRF)
Ahmad Khan
Samangani Front[32]
Afghanistan Freedom
Front
Afghanistan Islamic
National & Liberation
Movement
Many smaller
factions[note 2]
Supported by:
Tajikistan (alleged)[33]
Pakistan (alleged, since
2024)[34]
Independent militias","Afghan
conflict",https://en.wikipedia.org/wiki/Republican_insurgency_in_Afghanistan,https://en.wikipedia.org/wiki/Republican_insurgency_in_Afghanistan,286217.0,Asia
18,,,,,,,,,,Undefined
19,2021.0,2021,"2021 Afghanistan–
Iran clashes
",Afghanistan,Iran,"spillover
of the Afghanistan
conflict",https://en.wikipedia.org/wiki/2021_Afghanistan%E2%80%93Iran_clashes,https://en.wikipedia.org/wiki/2021_Afghanistan%E2%80%93Iran_clashes,13764.0,Asia
20,2022.0,Ongoing,"Chittagong Hill
Tracts conflict
Part of terrorism in
Bangladesh","Bangladesh
PCJSS-MN Larma
UPDF-D","PCJSS
UPDF
Kuki-Chin National Front",,https://en.wikipedia.org/wiki/Chittagong_Hill_Tracts_conflict,https://en.wikipedia.org/wiki/Chittagong_Hill_Tracts_conflict,73258.0,Asia
21,2022.0,Ongoing,"Russian invasion of
Ukraine
","Russia
Donetsk PR
Luhansk PR
Belarus[f]
North Korea",Ukraine,"Russo-
Ukrainian War
(outline)",https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine,7128139.0,Europe
22,2022.0,Ongoing,"M23 campaign
","Congo River Alliance
(from Dec 2023)
M23 Movement
Twirwaneho (from Feb
2025)
RED-Tabara (from Feb
2025)[37]
Mai-Mai Rushaba (from
March 2025)[38]
Rwanda[g]","DR Congo
MONUSCO
Pakistan[39]
India[42]
Russia[39]
Serbia[39]
Tanzania[43]
Morocco[44][45]
Malawi[46] (until
2025)[47]
South Africa[46]
EAC Regional Force
Uganda (March –
June 2022)[48][49]
Burundi (August
2022–present)[50][51]
Kenya (from
November 2022)[52]
South Sudan (from
December 2022)[53]
SADC Mission in DRC
(until 2025)[54]
FDLR[41][55][56]
Wazalendo
Nduma Defense of
Congo-Renovated
Pro-government Mai-
Mai[57]
Pro-government Nyatura
factions[57]
APCLS[58]","Kivu
conflict and the
DRC–Rwanda
conflict",https://en.wikipedia.org/wiki/M23_campaign_(2022%E2%80%93present),https://en.wikipedia.org/wiki/Kivu_conflict,1127885.0,Undefined
23,2022.0,Ongoing,"Russian partisan
movement",Russia,"Russian opposition
BOAK[59][60]
Stop the Wagons[61]
Black Bridge[62]",,https://en.wikipedia.org/wiki/Russian_partisan_movement_(2022%E2%80%93present),https://en.wikipedia.org/wiki/Russian_partisan_movement_(2022%E2%80%93present),104497.0,Undefined
24,,,,,"National Republican
Army[63]
Freedom of Russia
Legion[64]
Russian Volunteer
Corps[64]
NS/WP[65]
Artpodgotovka[66]
Silent Crow[67]
Atesh[68]
Cyber Partisans[68]
People's Resistance of
Ukraine[69]
Rebellious army
conscripts[70]
other rebel groups
Separatist movements
North Caucasus
partisans[71]
Circassian
nationalists[72]
Ingush
Independence
Committee
Ingush
Liberation
Army[73]
Chechen
militants
OBON[74][75]
Adat
People's
Movement[76]
Committee of
Bashkir
Resistance[h][77]
Sibir
Battalion[78]
Karelian
National
Movement[79]
Nord[80]
other separatist
movements",,,,,Undefined
