Start,Finish,Name of Conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
"c.
2004
BC","c. 2004
BC",Fall of the Neo-Sumerian\nEmpire,Elam\nSusa,Ur,,https://en.wikipedia.org/wiki/Third_Dynasty_of_Ur#History,https://en.wikipedia.org/wiki/Third_Dynasty_of_Ur#History,262999.0
"c.
2000
BC","c. 2000
BC",War in Persenbet,Segerseni,Unclear,,https://en.wikipedia.org/wiki/Segerseni#Attestation,,9072.0
"c.
1822
BC","c. 1763
BC",Campaigns of Rim-Sin I,Larsa,Uruk\nIsin\nDer\nBabylon\nSutum\nRapiqum,,https://en.wikipedia.org/wiki/Rim-Sin_I,,8252.0
,,,,,,,,
"c.
1801
BC","c. 1770
BC",Elam's Invasion into\nMesopotamia[28][29],Elam\nBabylon\nMari,Eshnunna\nMinor city states,,https://en.wikipedia.org/wiki/Eshnunna#History,https://en.wikipedia.org/wiki/Eshnunna#History,57133.0
"c.
1765
BC","c. 1764
BC",Elamite War[30],Babylon\nMari\nYamhad,Elam,,https://en.wikipedia.org/wiki/Elamite_War,,831.0
"c.
1763
BC","c. 1763
BC",Hammurabi's Conquest on\nLarsa[30],Babylon\nYamhad\nMari,Larsa,,https://en.wikipedia.org/wiki/Hammurabi#Reign_and_conquests,https://en.wikipedia.org/wiki/Hammurabi#Reign_and_conquests,497065.0
"c.
1760
BC","c. 1760
BC",Hammurabi's Conquests in\nthe North[30],Babylon,Mari\nMinor city states,,https://en.wikipedia.org/wiki/Hammurabi#Reign_and_conquests,https://en.wikipedia.org/wiki/Hammurabi#Reign_and_conquests,497065.0
"c.
1760
BC","c. 1760
BC",Hammurabi's War with\nAssyria[30],Babylon\nMinor city states,Assyria\nMinor city states,,https://en.wikipedia.org/wiki/Hammurabi#Reign_and_conquests,https://en.wikipedia.org/wiki/Hammurabi#Reign_and_conquests,497065.0
"c.
1742
BC","c. 1739
BC",Babylonian Rebellion,Babylon,Babylonian rebels,,https://en.wikipedia.org/wiki/Babylonian_Rebellion?action=edit&redlink=1,,-1.0
"c.
1740
BC","c. 1570
BC",Kassite invasions into\nBabylon,Kassites,Babylon\nRemnants of the\nBabylonian Empire\n(after c. 1595 BC),,https://en.wikipedia.org/wiki/Kassites#History,https://en.wikipedia.org/wiki/Kassites#History,152390.0
"c.
1732
BC","c. 1732
BC",Puzur-Sin's Uprising,Assyria,Amorites\nBabylon,,https://en.wikipedia.org/wiki/Puzur-Sin,,7716.0
"c.
1732
BC","c. 1726
or 1720
BC",Assyrian Civil War,Troops of Adasi,Troops of Puzur-Sin\nTroops of Ashur-apla-\nidi\nTroops of Nasir-Sin\nTroops of Sin-namir\nTroops of Ipqi-Ishtar\nTroops of Adad-salulu\nAmorites\nBabylon,,https://en.wikipedia.org/wiki/Assyria#Assyrian_Adaside_dynasty.2C_1732.E2.80.931451_BC,,1127555.0
"c.
1732
BC","c. 1732
BC",Foundation of the Sealand\ndynasty,Troops of Ilum-ma-ili,Babylon,,https://en.wikipedia.org/wiki/First_Sealand_dynasty,https://en.wikipedia.org/wiki/First_Sealand_dynasty,41680.0
"c.
1700
BC","c. 1700
BC",Babylonian Attack on the\nSealand Dynasty,Sealand dynasty,Babylon,,https://en.wikipedia.org/wiki/Abi-Eshuh#Biography,https://en.wikipedia.org/wiki/Abi-Eshuh#Biography,15493.0
"c.
1650
BC","c. 1620
BC",Campaigns of Hattusili I[31],Hittite Empire,Alalakh\nArzawa\nHurrians\nSmaller Syrian city\nstates,,https://en.wikipedia.org/wiki/Hattusili_I,,8790.0
"c.
1600
BC","c. 1600
BC",Xia–Shang War[32],Shang Rebel Forces,Xia dynasty,,https://en.wikipedia.org/wiki/Battle_of_Mingtiao,,21784.0
"c.
1600
BC","c. 1595
BC",Campaigns of Mursili I,Hittite Empire,Yamhad\nBabylon\nSmaller Syrian city\nstates,,https://en.wikipedia.org/wiki/Mursili_I,,24555.0
,,,,,,,,
"c.
1595
BC","c. 1595
BC",Sack of Babylon,Hittite Empire,Babylon,,https://en.wikipedia.org/wiki/Babylonia#The_sack_of_Babylon_and_ancient_Near_East_chronology,,813370.0
"c.
1523
BC","c. 1517
BC",Conquest of the Hyksos,Egypt,Hyksos,,https://en.wikipedia.org/wiki/Ahmose_I#Conquest_of_the_Hyksos,,213183.0
"c.
1506
BC","c. 1502
BC",Campaigns of Thutmose I,Egyptian Empire,Nubia,,https://en.wikipedia.org/wiki/Thutmose_I,,189152.0
"c.
1493
BC","before c.
1479 BC",Campaigns of Thutmose II,Egyptian Empire,Nubia\nShasu,,https://en.wikipedia.org/wiki/Thutmose_II,,334407.0
"c.
1457
BC","c. 1456
BC",Thutmose III's First Syria\nCampaign*[33],Egyptian Empire,Canaan\nKadesh\nMegiddo\nMitanni,,https://en.wikipedia.org/wiki/Battle_of_Megiddo_(15th_century_BC),https://en.wikipedia.org/wiki/Battle_of_Megiddo_(15th_century_BC),171741.0
"c.
1456
BC","c. 1455
BC",Thutmose III's Second Syria\nCampaign*,Egyptian Empire,Canaan\nRetjenu,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,504837.0
"c.
1455
BC","c. 1454
BC",Thutmose III's Third Syria\nCampaign*,Egyptian Empire,Canaan\nRetjenu,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,504837.0
