Start,End,Name of Conflict,Victors,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
c. 795 AD,940 AD,Viking Invasion of\nFrancia,Vikings,Frankish Kingdom,,https://en.wikipedia.org/wiki/Viking_Age#France,https://en.wikipedia.org/wiki/Viking_Age#France,744293.0
839 AD,after 844 AD,Viking Raids in Spain,Kingdom of Asturias\nEmirate of Córdoba,Vikings,,https://en.wikipedia.org/wiki/Viking_Age#Spain,,744293.0
264 BC,146 BC,Punic Wars,Roman Republic,Carthage,,https://en.wikipedia.org/wiki/Punic_Wars,,735124.0
66 AD,73 AD,First Jewish–Roman\nWar,Roman Empire,Judean rebels: Sadducees\nand volunteers from\nAdiabene,,https://en.wikipedia.org/wiki/First_Jewish%E2%80%93Roman_War,https://en.wikipedia.org/wiki/First_Jewish%E2%80%93Roman_War,715081.0
270 AD,271 AD,Campaigns against\nGermanic tribes\n,Roman Empire,Vandals\nJuthungi\nSarmatians\nAlamanni\nGoths,Wars of\nEmperor Aurelian,https://en.wikipedia.org/wiki/Aurelian#Reunification_of_the_empire,https://en.wikipedia.org/wiki/Aurelian#Reunification_of_the_empire,690410.0
274 AD,274 AD,Conquest of the Gallic\nEmpire\n,Roman Empire,Gallic Empire,Wars of\nEmperor Aurelian,https://en.wikipedia.org/wiki/Aurelian#Conquest_of_the_Gallic_Empire,https://en.wikipedia.org/wiki/Aurelian#Conquest_of_the_Gallic_Empire,690410.0
270 AD,274 AD,Wars of Emperor\nAurelian,Roman Empire,Vandals\nJuthungi\nSarmatians\nAlamanni\nRebellious mint workers\nGoths\nPalmyrene Empire\nTroops of Firmus\nProvince of Egypt\nSassanid Empire\nGallic Empire,,https://en.wikipedia.org/wiki/Aurelian,,690410.0
272 AD,273 AD,Conquest of the\nPalmyrene Empire\n,Roman Empire,Palmyrene Empire\nTroops of Firmus\nProvince of Egypt\nSassanid Empire,Wars of\nEmperor Aurelian,https://en.wikipedia.org/wiki/Aurelian#Conquest_of_the_Palmyrene_Empire,https://en.wikipedia.org/wiki/Aurelian#Conquest_of_the_Palmyrene_Empire,690410.0
218 BC,201 BC,Second Punic War\n,Roman Republic,Carthage,Punic Wars,https://en.wikipedia.org/wiki/Second_Punic_War,,685122.0
132 AD,136 AD,Bar Kokhba revolt,Roman Empire,Jews of Iudaea under\nSimon Bar Kokhba,,https://en.wikipedia.org/wiki/Bar_Kokhba_revolt,,664467.0
715 AD,718 AD,Frankish Civil War,Charles Martel,Neustrian nobility,,https://en.wikipedia.org/wiki/Charles_Martel#Civil_war_of_715%E2%80%93718,,663938.0
622 AD,750 AD,Early Muslim\nconquests,First Islamic state\nRashidun Caliphate\nUmayyad Caliphate,Sasanian Empire\nByzantine Empire\nWestern Turkic Khaganate\nTang dynasty\nChach dynasty\nVisigothic Kingdom,,https://en.wikipedia.org/wiki/Early_Muslim_conquests,https://en.wikipedia.org/wiki/Early_Muslim_conquests,654887.0
540 BC,539 BC,Cyrus' Conquest of Elam\n,Achaemenid Empire,Elam,Wars of Cyrus\nthe Great,https://en.wikipedia.org/wiki/Elam#Neo-Elamite_III_(646%E2%80%93539_BC),,618613.0
"Early 23rd century
BC",,Sargon's invasion of Elam[26],Akkad,Elam\nSusa\nMarhasi,,https://en.wikipedia.org/wiki/Sargon_of_Akkad#Wars_in_the_northwest_and_east,,618050.0
633 AD,644 AD,Muslim conquest of\nPersia\n,Rashidun Caliphate,Sassanid Empire\nArab Christians,Muslim\nconquests,https://en.wikipedia.org/wiki/Muslim_conquest_of_Persia,https://en.wikipedia.org/wiki/Muslim_conquest_of_Persia,595113.0
232 AD,c. 268 AD,Civil Wars during the\nCrisis of the Third\nCentury,Illyriciani,"Various Barracks emperors\nVarious Usurpers, co-\nemperors, high officials and",,https://en.wikipedia.org/wiki/Crisis_of_the_Third_Century,https://en.wikipedia.org/wiki/Crisis_of_the_Third_Century,592109.0
475 BC,221 BC,Wars of Warring States\nperiod in China,Seven Warring States,Seven Warring States,,https://en.wikipedia.org/wiki/Warring_States_period,https://en.wikipedia.org/wiki/Warring_States_period,590723.0
499 BC,448 BC,Greco-Persian Wars,Greek city states:\nAthens\nSparta\nThespians\nThebans\nOther Greek Forces\nCyprus\nDelian League\nOther pro-Greek Forces,Achaemenid Empire\nOther pro-Persian Forces,,https://en.wikipedia.org/wiki/Greco-Persian_Wars,,548232.0
334 BC,323 BC,Wars of Alexander the\nGreat,Macedon,Persian Empire\nPauravas\nGreek city states\nThrace\nGetae\nSogdiana,,https://en.wikipedia.org/wiki/Wars_of_Alexander_the_Great,https://en.wikipedia.org/wiki/Wars_of_Alexander_the_Great,507836.0
"c.
1429
BC","c. 1428
BC",Thutmose III's Nubian\nCampaign*,Egyptian Empire,Nubia,,https://en.wikipedia.org/wiki/Thutmose_III#Nubian_campaign,https://en.wikipedia.org/wiki/Thutmose_III#Nubian_campaign,504837.0
"c.
1448
BC","c. 1447
BC",Thutmose III's Seventh Syria\nCampaign*,Egyptian Empire,Retjenu\nPhoenicia,,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,504837.0
"c.
1445
BC","c. 1444
BC",Thutmose III's Ninth Syria\nCampaign*,Egyptian Empire,Nuhašše,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1444
BC","c. 1443
BC",Thutmose III's Tenth Syria\nCampaign*,Egyptian Empire,Mitanni,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1447
BC","c. 1446
BC",Thutmose III's Attack on\nMitanni (Eighth Syria\nCampaign)*,Egyptian Empire,Mitanni,,https://en.wikipedia.org/wiki/Thutmose_III#Attack_on_Mitanni,https://en.wikipedia.org/wiki/Thutmose_III#Attack_on_Mitanni,504837.0
"c.
1454
BC","c. 1453
BC",Thutmose III's Fourth Syria\nCampaign*,Egyptian Empire,Canaan\nRetjenu,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,504837.0
"c.
1440
BC","c. 1439
BC",Thutmose III's Fourteenth\nSyria Campaign*,Egyptian Empire,Shasu,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1441
BC","c. 1440
BC",Thutmose III's Thirteenth\nSyria Campaign*,Egyptian Empire,Nuhašše,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1442
BC","c. 1441
BC",Thutmose III's Twelfth Syria\nCampaign*,Egyptian Empire,Unknown,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Syria,504837.0
"c.
1449
BC","c. 1448
BC",Thutmose III's Sixth Syria\nCampaign*,Egyptian Empire,Byblos\nRetjenu\nKadesh,,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Conquest_of_Syria,504837.0
"c.
1455
BC","c. 1454
BC",Thutmose III's Third Syria\nCampaign*,Egyptian Empire,Canaan\nRetjenu,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,504837.0
"c.
1456
BC","c. 1455
BC",Thutmose III's Second Syria\nCampaign*,Egyptian Empire,Canaan\nRetjenu,,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,https://en.wikipedia.org/wiki/Thutmose_III#Tours_of_Canaan_and_Syria,504837.0
