Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1048,1213,Georgian–Seljuk wars,"Kingdom of Georgia (1089–\n1125),\nGeorgian Empire (1184–1213)",Great Seljuk Empire\nAtabegs of Azerbaijan\nSultanate of Rum,,https://en.wikipedia.org/wiki/Georgian%E2%80%93Seljuk_wars,,41502.0
1051,1063,Former Nine Years' War,Japan\nMinamoto no Yoriyoshi,Abe clan,,https://en.wikipedia.org/wiki/Former_Nine_Years'_War,,15874.0
1052,1052,Battle of Haydaran,Banu Hilal,Zirid dynasty,,https://en.wikipedia.org/wiki/Battle_of_Haydaran,,9344.0
1061,1091,Norman conquest of Sicily,County of Apulia\nCounty of Sicily (1071–1091),Emirate of Sicily\nZirids (1063–1068),,https://en.wikipedia.org/wiki/Norman_conquest_of_Sicily,,13543.0
1064,1064,Crusade of Barbastro,Kingdom of Aragon\nCounty of Urgell\nDuchy of Aquitaine\nPapal States,Taifa of Lérida,,https://en.wikipedia.org/wiki/Crusade_of_Barbastro,,18057.0
1064,1066,Breton–Norman war,Kingdom of England\nDuchy of Normandy,Duchy of Brittany,,https://en.wikipedia.org/wiki/Breton%E2%80%93Norman_war,,13511.0
1065,1067,War of the Three Sanchos,Kingdom of Castile,Kingdom of Navarre\nKingdom of Aragon,,https://en.wikipedia.org/wiki/War_of_the_Three_Sanchos,,7451.0
1066,1066,Battle of Stamford Bridge,Kingdom of England,Norway\nEarldom of Orkney,,https://en.wikipedia.org/wiki/Battle_of_Stamford_Bridge,,694059.0
,,,,English rebels,,,,
1066,1088,Norman Conquest of England,Normandy,Kingdom of England,,https://en.wikipedia.org/wiki/Norman_Conquest_of_England,,12403.0
1066,1165,Norman invasion of Wales,Welsh kingdoms,Normandy,,https://en.wikipedia.org/wiki/Norman_invasion_of_Wales,,49548.0
1066,1067,Battle on the Nemiga River,Principality of Kiev\nPrincipality of Chernigov\nPrincipality of Pereiaslavl',Principality of Polotsk,,https://en.wikipedia.org/wiki/Battle_on_the_Nemiga_River,,9651.0
1068,1068,Battle of the Alta River,Cumans,Principality of Kiev\nPrincipality of\nChernigov\nPrincipality of\nPereiaslavl',,https://en.wikipedia.org/wiki/Battle_of_the_Alta_River,,11906.0
1068,1068,Battle of Kerlés,Kingdom of Hungary,Pechenegs\nOuzes,,https://en.wikipedia.org/wiki/Battle_of_Kerl%C3%A9s,,9244.0
1068,1069,Kiev uprising,Kievan Rus',Veche of kiev,,https://en.wikipedia.org/wiki/Kiev_uprising_of_1068,,5488.0
1071,1071,Battle of Pedroso,Kingdom of Galicia,County of Portugal,,https://en.wikipedia.org/wiki/Battle_of_Pedroso,,6709.0
1072,1072,Battle of Golpejera,Kingdom of Castille,Kingdom of León,,https://en.wikipedia.org/wiki/Battle_of_Golpejera,,9121.0
1072,1073,Uprising of Georgi Voyteh,Byzantine Empire,Bulgarian rebels,,https://en.wikipedia.org/wiki/Uprising_of_Georgi_Voyteh,,10102.0
1073,1073,Battle of Kerj Abu Dulaf,Seljuk Empire,Kerman Seljuk\nSultanate,,https://en.wikipedia.org/wiki/Battle_of_Kerj_Abu_Dulaf,,5298.0
1073,1075,Saxon Rebellion,Holy Roman Empire,Duchy of Saxony,,https://en.wikipedia.org/wiki/Saxon_revolt_of_1073%E2%80%931075,,18012.0
1075,1077,Lý–Song War,Lý dynasty (Indecisive result),Song dynasty,,https://en.wikipedia.org/wiki/L%C3%BD%E2%80%93Song_War,,7495.0
1075,1075,Revolt of the Earls,Normandy,English rebels,,https://en.wikipedia.org/wiki/Revolt_of_the_Earls,,27781.0
1075,1082,Varendra rebellion,Varendra,Pala Empire,,https://en.wikipedia.org/wiki/Varendra_rebellion,,16922.0
1077,1088,Great Saxon Revolt,Holy Roman Empire,Saxon nobility,,https://en.wikipedia.org/wiki/Saxon_revolt_of_1077%E2%80%931088,,28153.0
1083,1089,Gosannen War,Minamoto clan,Kiyohara clan,,https://en.wikipedia.org/wiki/Gosannen_War,,12592.0
1088,1088,Rebellion of 1088,,,,https://en.wikipedia.org/wiki/Rebellion_of_1088,,23388.0
1090,1194,Nizari–Seljuk conflicts,Nizari Ismaili state,Seljuk Empire\nAbbasid Caliphate\nsunni Townspeople\nFatimid Caliphate\nAyyubid Sultanate\nPrincipality of Antioch\nKingdom of Jerusalem\nCounty of Tripoli\nKnights Templar\nKnights Hospitaller,,https://en.wikipedia.org/wiki/Nizari%E2%80%93Seljuk_conflicts,,22749.0
1096,1099,First Crusade\n,Crusaders\nKingdom of France\nCounty of Auvergne\nCounts of Blois\nCounty of Toulouse\nCounty of Boulogne\nDuchy of Burgundy\nCounty of Flanders\nDuchy of Normandy\nDiocese of Le Puy-en-Velay\nDuchy of Brittany\nVermandois\nHoly Roman Empire\nRepublic of Genoa\nCounty of Sicily,Muslim forces\nFatimid Caliphate\nSeljuk Empire\nSultanate of Rum\nDanishmendids\nSeljuk Emirate of\nAleppo\nSeljuk Emirate of\nDamascus\nAbbasid Caliphate,Crusades,https://en.wikipedia.org/wiki/First_Crusade,,1067386.0
,,,Principality of Taranto\nCounty of Apulia and Calabria\nEastern Christian Allies\nByzantine Empire\nArmenian Kingdom of Cilicia,,,,,
1097,1097,Chola invasion of Kalinga,Chola Empire,Kalinga,,https://en.wikipedia.org/wiki/Chola_invasion_of_Kalinga_(1097),,4485.0
Start,Finish,Name of Conflict,Belligerents,,,,,
,,,Victorious party (if\napplicable),Defeated party (if\napplicable),,,,
1101,1101,Crusade of 1101\n,Sultanate of Rum\nDanishmends\nSeljuk Emirate of Aleppo,Crusaders\nKingdom of France\nDuchy of Burgundy\nCounty of Blois\nCounty of Nevers\nCounty of Vermandois\nDuchy of Aquitaine\nHoly Roman Empire\nCounty of Burgundy\nDuchy of Bavaria\nMargraviate of Austria\nRepublic of Genoa\nByzantine Empire\nPapal States,Crusades,https://en.wikipedia.org/wiki/Crusade_of_1101,,85478.0
1101,1101,Battle of Ramla\n,Kingdom of Jerusalem,Fatimid Caliphate,Crusades,https://en.wikipedia.org/wiki/Battle_of_Ramla_(1101),,12952.0
1102,1102,Battle of Ramla\n,Fatimids of Egypt,Kingdom of Jerusalem,Crusades,https://en.wikipedia.org/wiki/Battle_of_Ramla_(1102),,20256.0
